experiment,method,audit_config,seed,train_steps,width,depth,batch,omega,terminal_weight,actor_hjb_weight,actor_lr,critic_lr,native_hjb_loss,residual_rmse,mean_abs_residual,mean_hamiltonian_abs,normalized_residual_rmse,terminal_boundary_loss,primary_metric,heldout_value,heldout_ci95,certificate_gap_read,claim_status,normalized_rmse_ratio_vs_headline,hjb_loss_ratio_vs_headline,terminal_loss_ratio_vs_headline,heldout_delta_vs_headline,mean_action,loss_mode
inventory_service_level,nbo_full_ndu_inventory,headline_performance_run,packaged_headline,450,56,2,96,1.0,2.0,0.05,5e-06,0.0012,62574.1343104,250.14822468,201.51464532317019,134.69513756,1.8434575415,2062.008626372904,mean_welfare,-3.637521018572943,0.007739204117383378,headline_inventory_gap,baseline_inventory_normalized_gap_visible,1,1,1,0,,
inventory_service_level,nbo_full_ndu_inventory,inventory_residual_certificate_balanced_2400,20302513,2400,80,2,192,16.0,32.0,0.1,1e-06,0.0008,12035.6020487,109.706891528,74.2762836832,24.8103230245,4.25050439795,1945.9502096,mean_welfare,-3.637375903,0.00770405204984,best_native_residual_closure_reference,native_residual_improved_normalized_not_closed,2.30572405508,0.192341487123,0.943715843237,0.000145115572943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_guard_moderate_900,20303501,900,64,2,128,4.0,12.0,0.03,2e-06,0.0012,15350.6220649,123.897627358,90.2316810634,30.2846606671,3.96033150803,1857.53900511,mean_welfare,-3.63737352451,0.00770408721507,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,2.14831718056,0.245318968198,0.900839589783,0.000147494062943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_guard_balanced_1200,20303502,1200,64,2,160,6.0,16.0,0.03,2e-06,0.001,13850.6123911,117.688624731,90.6896743846,55.3793151061,2.08744332047,1951.4452277,mean_welfare,-3.63737177111,0.00770406910007,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,1.13235226387,0.221347247449,0.946380729324,0.000149247462943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_hamiltonian_preserve_900,20303503,900,64,2,128,2.0,8.0,0.01,4e-06,0.0012,15756.1898429,125.523662482,101.264155359,13.5130233938,8.64903604688,2396.56060603,mean_welfare,-3.63736667712,0.00770407733838,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,4.69174681389,0.251800364744,1.16224567413,0.000154341452943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_hamiltonian_preserve_1500,20303504,1500,72,2,160,3.0,10.0,0.02,3e-06,0.001,9557.71671545,97.7635756069,77.8140881554,31.3572643214,3.02137951577,2016.73818433,mean_welfare,-3.63736838553,0.00770404574619,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,1.6389742903,0.152742292335,0.97804546428,0.000152633042943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_terminal_guard_1800,20303505,1800,80,2,192,4.0,24.0,0.02,1e-06,0.0008,10354.1563753,101.755375166,73.4955161614,16.841572473,5.7032739306,2175.99297,mean_welfare,-3.63737459722,0.00770406484468,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,3.09379185699,0.165470229663,1.0552783059,0.000146421352943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_residual_scale_mix_2400,20303506,2400,80,2,192,6.0,24.0,0.05,1e-06,0.0008,8879.78847515,94.2326295672,76.9187136497,8.53894733102,9.87872417124,1537.85000498,mean_welfare,-3.63737503057,0.00770405500368,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,5.35880211442,0.141908291229,0.745801926001,0.000145988002943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_critic_scale_1200,20303507,1200,64,2,160,4.0,12.0,0.0,0.0,0.001,14847.7998443,121.851548387,93.7393764426,11.6188848352,9.65628500289,1947.66639093,mean_welfare,-3.63738194916,0.00770405667999,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,5.23813800183,0.237283344115,0.94454812944,0.000139069412943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_critic_scale_1800,20303508,1800,72,2,192,6.0,18.0,0.0,0.0,0.0009,22019.2756867,148.388933842,104.090501035,56.2656012188,2.59124030279,2035.78714959,mean_welfare,-3.63738194916,0.00770405667999,inventory_normalized_residual_search,native_residual_improved_normalized_not_closed,1.40564143435,0.351891015822,0.987283527116,0.000139069412943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_early_scale_60,20303601,60,64,2,128,2.0,8.0,0.01,4e-06,0.0012,262873.605335,512.712010133,343.867229135,302.422816527,1.68976089538,2546.62100337,mean_welfare,-3.6373809693,0.00770405822679,inventory_normalized_residual_search,normalized_residual_improved_with_native_tradeoff,0.916625882257,4.20099467986,1.2350195682,0.000140049272943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_early_scale_120,20303602,120,64,2,128,2.0,8.0,0.01,4e-06,0.0012,97352.9275425,312.014306631,248.799226072,112.099552377,2.75875810358,1756.10585542,mean_welfare,-3.63738051845,0.0077040616284,inventory_normalized_residual_search,no_guarded_normalized_improvement,1.49651296082,1.55580142842,0.85164816139,0.000140500122943,36.006;2.19984,
inventory_service_level,nbo_full_ndu_inventory,inventory_norm_early_scale_240,20303603,240,64,2,128,2.0,8.0,0.01,4e-06,0.0012,87537.2586622,295.866961086,231.606184291,138.826051877,2.11596449385,2222.9292128,mean_welfare,-3.63737817115,0.00770406525133,inventory_normalized_residual_search,no_guarded_normalized_improvement,1.14782382898,1.39893679117,1.07804069506,0.000142847422943,36.006;2.19984,
