period,inventory,optimal_order_up_to
0,0,14
0,1,14
0,2,14
0,3,14
0,4,14
0,5,14
0,6,14
0,7,14
0,8,14
0,9,14
0,10,14
0,11,14
0,12,14
0,13,14
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
1,0,14
1,1,14
1,2,14
1,3,14
1,4,14
1,5,14
1,6,14
1,7,14
1,8,14
1,9,14
1,10,14
1,11,14
1,12,14
1,13,14
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
2,0,14
2,1,14
2,2,14
2,3,14
2,4,14
2,5,14
2,6,14
2,7,14
2,8,14
2,9,14
2,10,14
2,11,14
2,12,14
2,13,14
2,14,14
2,15,15
2,16,16
2,17,17
2,18,18
2,19,19
2,20,20
2,21,21
2,22,22
2,23,23
2,24,24
2,25,25
2,26,26
2,27,27
2,28,28
2,29,29
2,30,30
2,31,31
2,32,32
3,0,14
3,1,14
3,2,14
3,3,14
3,4,14
3,5,14
3,6,14
3,7,14
3,8,14
3,9,14
3,10,14
3,11,14
3,12,14
3,13,14
3,14,14
3,15,15
3,16,16
3,17,17
3,18,18
3,19,19
3,20,20
3,21,21
3,22,22
3,23,23
3,24,24
3,25,25
3,26,26
3,27,27
3,28,28
3,29,29
3,30,30
3,31,31
3,32,32
4,0,14
4,1,14
4,2,14
4,3,14
4,4,14
4,5,14
4,6,14
4,7,14
4,8,14
4,9,14
4,10,14
4,11,14
4,12,14
4,13,14
4,14,14
4,15,15
4,16,16
4,17,17
4,18,18
4,19,19
4,20,20
4,21,21
4,22,22
4,23,23
4,24,24
4,25,25
4,26,26
4,27,27
4,28,28
4,29,29
4,30,30
4,31,31
4,32,32
5,0,14
5,1,14
5,2,14
5,3,14
5,4,14
5,5,14
5,6,14
5,7,14
5,8,14
5,9,14
5,10,14
5,11,14
5,12,14
5,13,14
5,14,14
5,15,15
5,16,16
5,17,17
5,18,18
5,19,19
5,20,20
5,21,21
5,22,22
5,23,23
5,24,24
5,25,25
5,26,26
5,27,27
5,28,28
5,29,29
5,30,30
5,31,31
5,32,32
6,0,14
6,1,14
6,2,14
6,3,14
6,4,14
6,5,14
6,6,14
6,7,14
6,8,14
6,9,14
6,10,14
6,11,14
6,12,14
6,13,14
6,14,14
6,15,15
6,16,16
6,17,17
6,18,18
6,19,19
6,20,20
6,21,21
6,22,22
6,23,23
6,24,24
6,25,25
6,26,26
6,27,27
6,28,28
6,29,29
6,30,30
6,31,31
6,32,32
7,0,14
7,1,14
7,2,14
7,3,14
7,4,14
7,5,14
7,6,14
7,7,14
7,8,14
7,9,14
7,10,14
7,11,14
7,12,14
7,13,14
7,14,14
7,15,15
7,16,16
7,17,17
7,18,18
7,19,19
7,20,20
7,21,21
7,22,22
7,23,23
7,24,24
7,25,25
7,26,26
7,27,27
7,28,28
7,29,29
7,30,30
7,31,31
7,32,32
8,0,14
8,1,14
8,2,14
8,3,14
8,4,14
8,5,14
8,6,14
8,7,14
8,8,14
8,9,14
8,10,14
8,11,14
8,12,14
8,13,14
8,14,14
8,15,15
8,16,16
8,17,17
8,18,18
8,19,19
8,20,20
8,21,21
8,22,22
8,23,23
8,24,24
8,25,25
8,26,26
8,27,27
8,28,28
8,29,29
8,30,30
8,31,31
8,32,32
9,0,14
9,1,14
9,2,14
9,3,14
9,4,14
9,5,14
9,6,14
9,7,14
9,8,14
9,9,14
9,10,14
9,11,14
9,12,14
9,13,14
9,14,14
9,15,15
9,16,16
9,17,17
9,18,18
9,19,19
9,20,20
9,21,21
9,22,22
9,23,23
9,24,24
9,25,25
9,26,26
9,27,27
9,28,28
9,29,29
9,30,30
9,31,31
9,32,32
10,0,14
10,1,14
10,2,14
10,3,14
10,4,14
10,5,14
10,6,14
10,7,14
10,8,14
10,9,14
10,10,14
10,11,14
10,12,14
10,13,14
10,14,14
10,15,15
10,16,16
10,17,17
10,18,18
10,19,19
10,20,20
10,21,21
10,22,22
10,23,23
10,24,24
10,25,25
10,26,26
10,27,27
10,28,28
10,29,29
10,30,30
10,31,31
10,32,32
11,0,14
11,1,14
11,2,14
11,3,14
11,4,14
11,5,14
11,6,14
11,7,14
11,8,14
11,9,14
11,10,14
11,11,14
11,12,14
11,13,14
11,14,14
11,15,15
11,16,16
11,17,17
11,18,18
11,19,19
11,20,20
11,21,21
11,22,22
11,23,23
11,24,24
11,25,25
11,26,26
11,27,27
11,28,28
11,29,29
11,30,30
11,31,31
11,32,32
