audit,method,evaluation_variant,n,theta_cost_multiplier,policy_evaluations,param_dim,mean_welfare,mean_welfare_ci95,mean_welfare_no_theta_cost,mean_welfare_no_theta_cost_ci95,avg_cost,avg_cost_ci95,avg_cost_no_theta,avg_cost_no_theta_ci95,fill_rate,fill_rate_ci95,ending_backlog,ending_backlog_ci95,theta_std,theta_std_ci95,theta_mean_abs_deviation_from_one,theta_mean_abs_deviation_from_one_ci95,service_breach_count,service_breach_count_ci95
equal_budget_inventory,action_only_adaptive_base_stock,normal,12,1.0,192,7,-3.716208732,0.0192087276946,-3.716208732,0.0192087276946,4.3114202912,0.0186526837425,4.3114202912,0.0186526837425,0.999688717035,5.60380012107e-05,0.282466546463,0.0505360693772,0,0,0,0,1.40993923611,0.117804427915
equal_budget_inventory,fixed_service_base_stock,normal,12,1.0,192,3,-3.73384749934,0.0261861173937,-3.73384749934,0.0261861173937,4.32681876186,0.0230667343594,4.32681876186,0.0230667343594,0.999646310159,8.52986899455e-05,0.320131160436,0.0766247089757,0,0,0,0,1.47330729167,0.164495430035
equal_budget_inventory,full_ndu_inventory,normal,12,1.0,192,12,-3.73031228564,0.0181831110295,-3.72769103399,0.0185793333234,4.32330176352,0.019266628759,4.32068051187,0.0197496380789,0.999630683433,6.26127976757e-05,0.336167413894,0.0567736935656,0.0963190384403,0.0339893276678,0.19865249862,0.0596932039116,1.46853298611,0.128993992405
equal_budget_inventory,valuation_only_service_rule,normal,12,1.0,192,6,-3.77304487885,0.0156825418454,-3.76961390078,0.0157408738959,4.36931644916,0.0145864112783,4.36588547109,0.0146772942688,0.999665782226,6.43865047373e-05,0.304715792815,0.0583288767246,0.0951051967848,0.0127567511412,0.254285230287,0.011765499699,1.36848958333,0.0814403874716
theta_ablation_inventory,full_ndu_inventory,fixed_one,12,1.0,192,12,-3.87502511105,0.0790950104446,-3.87502511105,0.0790950104446,4.47837941099,0.0855806521404,4.47837941099,0.0855806521404,0.999712093482,6.39452059228e-05,0.258589391933,0.0577213245415,0,0,0,0,1.14474826389,0.319233040481
theta_ablation_inventory,full_ndu_inventory,permuted,12,1.0,192,12,-3.79634438575,0.0398370368713,-3.79369768186,0.0400352286865,4.38606647226,0.0390428233479,4.38341976837,0.0392936096446,0.999596608469,6.06479577637e-05,0.364497634355,0.0553090777778,0.112725550513,0.0399750641355,0.200074077996,0.0592663215485,1.568359375,0.128901646194
theta_cost_sweep_inventory,action_only_adaptive_base_stock,normal,8,0.0,192,7,-3.71635120004,0.0287762077044,-3.71635120004,0.0287762077044,4.31090911943,0.0283323550057,4.31090911943,0.0283323550057,0.999668861017,7.72222610417e-05,0.300692239998,0.0695560742685,0,0,0,0,1.42643229167,0.143707933251
theta_cost_sweep_inventory,action_only_adaptive_base_stock,normal,8,1.0,192,7,-3.71559542785,0.0330197372403,-3.71559542785,0.0330197372403,4.30863171162,0.0278021979699,4.30863171162,0.0278021979699,0.999686176096,9.05635851028e-05,0.286175545834,0.0793735463267,0,0,0,0,1.48177083333,0.202367725682
theta_cost_sweep_inventory,action_only_adaptive_base_stock,normal,8,4.0,192,7,-3.73568604168,0.0267614988406,-3.73568604168,0.0267614988406,4.3325568319,0.0274766312475,4.3325568319,0.0274766312475,0.999671104637,6.229525439e-05,0.29886888858,0.0540296187368,0,0,0,0,1.34993489583,0.0736634850829
theta_cost_sweep_inventory,full_ndu_inventory,normal,8,0.0,192,12,-3.71752149192,0.0173827946788,-3.71752149192,0.0173827946788,4.30932021898,0.0187797585545,4.30932021898,0.0187797585545,0.999608385805,5.96676449215e-05,0.356858453802,0.0523514277664,0.0986485456246,0.0430681952408,0.201847168877,0.0695019016515,1.50227864583,0.146639143355
theta_cost_sweep_inventory,full_ndu_inventory,normal,8,1.0,192,12,-3.72666693862,0.024985810528,-3.72548241938,0.0251546070747,4.32246074132,0.0249303103324,4.32127622208,0.0250636644304,0.99967808276,9.15079637342e-05,0.292425436455,0.0841021549056,0.0898825945766,0.0355446417626,0.128017924744,0.0399241708258,1.3876953125,0.121353172637
theta_cost_sweep_inventory,full_ndu_inventory,normal,8,4.0,192,12,-3.72881328785,0.0122965530006,-3.72279494957,0.0129604516101,4.3266054612,0.0133258684132,4.32058712291,0.0130578258052,0.999761863465,5.13505011313e-05,0.223115024674,0.0455048538846,0.117928747549,0.0363079978178,0.148716785994,0.0415178526974,1.34342447917,0.195916330917
