audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
equal_budget_inventory,full_ndu_inventory,8061,12,192,-3.619729158541675,1.0,normal,-3.7002911490980686,-3.6990009766811176,4.285750081752702,4.284459909335751,0.9996862728318292,0.2851398204427965,7.842904800082855,22.846365857802713,0.12405218644995597,0.1377578508100333,1.734375
theta_ablation_inventory,full_ndu_inventory,8061,12,192,-3.619729158541675,1.0,fixed_one,-3.7833554623442383,-3.7833554623442383,4.359246980871995,4.359246980871995,0.9995840960659695,0.3729050473746374,7.539083420525347,22.830448365239246,0.0,0.0,2.0260416666666665
theta_ablation_inventory,full_ndu_inventory,8061,12,192,-3.619729158541675,1.0,permuted,-3.788920399913159,-3.7875318915368603,4.370998817950228,4.36961030957393,0.9996445678796336,0.31887225477769243,7.936406475135693,22.848627742285725,0.159181353298577,0.14292625901570333,1.8359375
equal_budget_inventory,full_ndu_inventory,9061,12,192,-3.6166891203709524,1.0,normal,-3.7290306727004903,-3.7273806868523462,4.315989781479054,4.314339795630911,0.9994734042223206,0.46870297922643456,8.031513408974005,23.018135407705,0.06452283562035895,0.17574105122537637,1.6276041666666667
theta_ablation_inventory,full_ndu_inventory,9061,12,192,-3.6166891203709524,1.0,fixed_one,-3.8016108542702334,-3.8016108542702334,4.409233485092064,4.409233485092064,0.9995856413527289,0.3645393816865434,9.424455938987217,23.05200337004023,0.0,0.0,0.96875
theta_ablation_inventory,full_ndu_inventory,9061,12,192,-3.6166891203709524,1.0,permuted,-3.7800399038923174,-3.7783844270562432,4.363558201627989,4.361902724791914,0.9994143965919591,0.5182310208750726,8.06822322102886,23.01874404843745,0.07725864674103042,0.17535284983170948,1.7265625
equal_budget_inventory,full_ndu_inventory,10061,12,192,-3.755681863586756,1.0,normal,-3.7661081676421464,-3.7634906395773213,4.359428168445922,4.356810640381097,0.999672812600472,0.29167833691346895,8.559220030841045,22.795900202417215,0.08662021209872998,0.22302049504017152,1.46875
theta_ablation_inventory,full_ndu_inventory,10061,12,192,-3.755681863586756,1.0,fixed_one,-3.963319141717729,-3.963319141717729,4.579830674287973,4.579830674287973,0.9997592540712805,0.21159487952896253,10.593236762671314,22.828752922799737,0.0,0.0,0.71875
theta_ablation_inventory,full_ndu_inventory,10061,12,192,-3.755681863586756,1.0,permuted,-3.811834354831016,-3.8092327085331816,4.404452485841396,4.401850839543561,0.9996534382512974,0.3058128974697879,8.644406762202602,22.798734476535916,0.09057496089300261,0.22293389576009115,1.4869791666666667
equal_budget_inventory,full_ndu_inventory,11061,12,192,-3.7777892020840715,1.0,normal,-3.7394788457657526,-3.7392764943788026,4.338279276217983,4.338076924831033,0.999674272556529,0.3050029849730865,8.73859455666095,23.05614784496073,0.06413948330898193,0.057252640170825986,1.2864583333333333
theta_ablation_inventory,full_ndu_inventory,11061,12,192,-3.7777892020840715,1.0,fixed_one,-3.755358144112732,-3.755358144112732,4.354237310030821,4.354237310030821,0.9997427082397613,0.2396738110126058,8.818264346535074,23.076597230400026,0.0,0.0,1.3020833333333333
theta_ablation_inventory,full_ndu_inventory,11061,12,192,-3.7777892020840715,1.0,permuted,-3.7528477665789572,-3.7526447289760547,4.350292068858932,4.350089031256029,0.9996707721599969,0.30759409676664445,8.742511521596548,23.056055121234664,0.06585175924728597,0.0573444983965051,1.3307291666666667
equal_budget_inventory,full_ndu_inventory,12061,12,192,-3.6202334011663506,1.0,normal,-3.716547302838714,-3.710647696109645,4.298409027146572,4.292509420417503,0.9994124030384822,0.5399110699768225,7.863682193129996,22.864936853131667,0.03484762249754667,0.3602632107510094,1.78125
theta_ablation_inventory,full_ndu_inventory,12061,12,192,-3.6202334011663506,1.0,fixed_one,-4.015209748700099,-4.015209748700099,4.638688432424147,4.638688432424147,0.9997903042155061,0.19051466264196049,11.179223114046588,22.942467176865108,0.0,0.0,0.4947916666666667
theta_ablation_inventory,full_ndu_inventory,12061,12,192,-3.6202334011663506,1.0,permuted,-3.734758946986099,-3.7288601639156376,4.315985492567585,4.310086709497123,0.9994111306976858,0.5398249982914765,7.887782095065686,22.865330923942793,0.03568367718537992,0.3602576886808064,1.8020833333333333
equal_budget_inventory,full_ndu_inventory,13061,12,192,-3.6277436051506946,1.0,normal,-3.6891501838799257,-3.688464359027318,4.285482378823523,4.284796553970915,0.9995805868679498,0.37931258749386515,8.506661368605117,22.64479913481094,0.038162918284418916,0.11616932407084937,1.34375
theta_ablation_inventory,full_ndu_inventory,13061,12,192,-3.6277436051506946,1.0,fixed_one,-3.73770312126414,-3.73770312126414,4.347216448745056,4.347216448745056,0.9996754940601145,0.2941787062990641,9.47397372684863,22.664308646283544,0.0,0.0,0.9296875
theta_ablation_inventory,full_ndu_inventory,13061,12,192,-3.6277436051506946,1.0,permuted,-3.695657930912399,-3.694970929884766,4.291526913714232,4.290839912686599,0.9995812791002289,0.38076723318838696,8.535480701931464,22.64560959708868,0.04139594085552619,0.11618579528308211,1.359375
