method,t,inventory,regime,theta_previous,order_up_to,theta_next
exact_dp_action_only_fixed_theta,0,2,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,0,2,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,4,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,1,4,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,3,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,1,3,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,2,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,1,2,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,1,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,1,1,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,0,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,1,0,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,-1,0,1.0,6,1.0
exact_dp_action_only_fixed_theta,1,-1,1,1.0,7,1.0
exact_dp_action_only_fixed_theta,2,4,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,2,4,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,3,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,2,3,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,2,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,2,2,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,1,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,2,1,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,0,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,2,0,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,-1,0,1.0,6,1.0
exact_dp_action_only_fixed_theta,2,-1,1,1.0,7,1.0
exact_dp_action_only_fixed_theta,2,5,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,2,5,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,4,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,3,4,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,3,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,3,3,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,2,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,3,2,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,1,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,3,1,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,0,0,1.0,4,1.0
exact_dp_action_only_fixed_theta,3,0,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,-1,0,1.0,6,1.0
exact_dp_action_only_fixed_theta,3,-1,1,1.0,7,1.0
exact_dp_action_only_fixed_theta,3,5,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,3,5,1,1.0,6,1.0
exact_dp_action_only_fixed_theta,4,4,0,1.0,0,1.0
