scenario,method,n,mean_welfare,mean_welfare_ci95,avg_cost,avg_cost_ci95,fill_rate,fill_rate_ci95,ending_backlog,ending_backlog_ci95,avg_inventory,avg_inventory_ci95,avg_order,avg_order_ci95,theta_std,theta_std_ci95,service_breach_count,service_breach_count_ci95,welfare_gap_to_best
baseline,full_ndu_inventory,10,-3.71335482066,0.0224655616296,4.3098153246,0.0223543567831,0.999674750491,5.59592352224e-05,0.297238412527,0.0519066417675,8.51224245525,0.253315453703,22.8692622492,0.079554746135,0.0945005627116,0.0218665650544,1.36458333333,0.127320286078,0
baseline,action_only_adaptive_base_stock,10,-3.72063816041,0.0205119221459,4.31650633328,0.0204658486459,0.999643677859,6.33818580879e-05,0.32252951759,0.0568391410585,8.51527319273,0.211745416046,22.872857187,0.0729028385859,0,0,1.37604166667,0.117082754834,0.00728333975
baseline,fixed_service_base_stock,10,-3.7392107963,0.0275731382635,4.33258126567,0.027294452919,0.999635175858,6.13723032868e-05,0.328810715815,0.0542227861822,8.44985812709,0.162338053653,22.9115171802,0.0667858339192,0,0,1.45703125,0.0770608970883,0.02585597564
volatile_demand,full_ndu_inventory,10,-5.5825094402,0.018592305961,6.17030329119,0.0190663912233,0.999567004811,8.03923282346e-05,0.439584602041,0.0803869637657,13.4530654793,0.425808103342,25.2844684982,0.0538043314828,0.19403522235,0.0309175903995,1.62473958333,0.192647190281,0
volatile_demand,action_only_adaptive_base_stock,10,-5.59275695161,0.0245800085043,6.17296261275,0.0225891113639,0.99942707483,7.70635297324e-05,0.575447098825,0.0766126811818,13.0533841638,0.232000730617,25.2287969798,0.0458525666719,0,0,1.84036458333,0.121152867191,0.01024751141
volatile_demand,fixed_service_base_stock,10,-5.61383091891,0.029492370852,6.19178274483,0.0259556251052,0.99943929074,8.45441713484e-05,0.56889598543,0.0896677581518,12.8812970389,0.247353965838,25.2738592302,0.0836549717149,0,0,1.91875,0.146666827619,0.03132147871
high_shortage_penalty,full_ndu_inventory,10,-3.89814884318,0.0194179085941,4.61502648593,0.0192914677852,0.999833063272,3.50601001331e-05,0.154067022935,0.0315170015553,9.80807948484,0.168136280092,22.9820550415,0.0631924712755,0.106310971554,0.0252480355799,0.755208333333,0.0608564711357,0.00706624135
high_shortage_penalty,action_only_adaptive_base_stock,10,-3.89108260183,0.0264025617251,4.60396282025,0.0249489763791,0.999813323431,3.83735009352e-05,0.171296731782,0.0325946807967,9.62064498808,0.181526941658,23.0015203043,0.0509571819343,0,0,0.824479166667,0.0730258626815,0
high_shortage_penalty,fixed_service_base_stock,10,-3.91638505826,0.0372638552231,4.62483240978,0.033827426885,0.999774885686,3.87082572131e-05,0.205357874429,0.0318437710882,9.55655223283,0.125111970279,22.9680108748,0.0347136579513,0,0,0.8984375,0.0787910236939,0.02530245643
tight_capacity,full_ndu_inventory,10,-3.78928266597,0.0155094905698,4.47227109834,0.0146232862859,0.999725277208,6.17266239206e-05,0.252606278377,0.0566466743701,8.88062347947,0.141461664381,23.0373032208,0.0665176996934,0.113876212745,0.0342361358912,1.15130208333,0.0760406637586,0
tight_capacity,action_only_adaptive_base_stock,10,-3.81530194899,0.0215971434683,4.49564533755,0.0188744251432,0.999673570951,5.77620923865e-05,0.297472861428,0.0501600842802,8.89315690961,0.167884208359,22.992081681,0.0572630663949,0,0,1.22395833333,0.114221371685,0.02601928302
tight_capacity,fixed_service_base_stock,10,-3.81279255275,0.0170735492623,4.49314028449,0.0156138970083,0.999694018805,4.66393419175e-05,0.282136346151,0.0432387159659,8.84179567421,0.163149155432,22.9965529018,0.0576448917506,0,0,1.22994791667,0.0955540049661,0.02350988678
