scenario,method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
baseline,full_ndu_inventory,1761,12,10,24,240,-3.5692648566567433,-3.6798838721397993,4.272440872773752,0.9996653282042441,0.2995409101542711,8.163362951557035,22.84031988339599,0.06574047161174809,1.4921875
baseline,full_ndu_inventory,2761,12,10,24,240,-3.6670547462187733,-3.730435449069154,4.320652077020728,0.9995387972439468,0.4250101189272854,8.345895250697376,22.654023426168493,0.13638312174613654,1.5364583333333333
baseline,full_ndu_inventory,3761,12,10,24,240,-3.8229029215971337,-3.6958835139763004,4.300072245961245,0.9997814039981181,0.19809711329654967,8.876352546877905,22.937608378004295,0.06159572097896229,1.1354166666666667
baseline,full_ndu_inventory,4761,12,10,24,240,-3.7993849397374317,-3.738370169262724,4.3333823713624335,0.9996304315124638,0.3277998597954768,8.580574769665748,22.841519859152204,0.07926730234883746,1.4010416666666667
baseline,full_ndu_inventory,5761,12,10,24,240,-3.8223508435105393,-3.781322265677678,4.381512311041093,0.9996038337954269,0.36455212752619026,9.03441802730115,22.783976315852296,0.11440447577029222,1.2213541666666667
baseline,full_ndu_inventory,6761,12,10,24,240,-3.649913347404521,-3.7552527722319176,4.347792978850649,0.9996046352023414,0.35883964602482604,8.434247819230942,22.944083570724526,0.06228080461515323,1.4765625
baseline,full_ndu_inventory,7761,12,10,24,240,-3.5562058302337562,-3.695759487799348,4.280738127905757,0.9997238925133013,0.25775129746981223,7.661694462971965,22.695036242132403,0.12592385738756814,1.7604166666666667
baseline,full_ndu_inventory,8761,12,10,24,240,-3.8203715386724353,-3.702540141149487,4.306309918569149,0.999621612802458,0.35653383996729754,8.974511906299526,23.02707469667583,0.05765603246948257,1.1067708333333333
baseline,full_ndu_inventory,9761,12,10,24,240,-3.6669138749357124,-3.6723950984989,4.2737652912327,0.9998001803417251,0.1758403037676003,8.540807231366946,23.006633134569682,0.15355089103807096,1.234375
baseline,full_ndu_inventory,10761,12,10,24,240,-3.7922304660039385,-3.6817054368277575,4.281487051232517,0.9997773893005949,0.2084189083423844,8.510559586500355,22.96234698574078,0.08820294914938738,1.28125
baseline,action_only_adaptive_base_stock,2761,7,9,22,198,-3.6767381688977103,-3.7477300286326343,4.335172630088589,0.9995924345569943,0.3726438729078721,8.20753626922938,22.662972484335157,0.0,1.6432291666666667
baseline,action_only_adaptive_base_stock,3761,7,9,22,198,-3.8081941833444803,-3.6808591585389494,4.287744696027651,0.9998548328110877,0.1336282501845658,8.888303543706412,22.958021819584488,0.0,1.0651041666666667
baseline,action_only_adaptive_base_stock,4761,7,9,22,198,-3.790910721875238,-3.7391972977386208,4.334066055485249,0.9996417978433286,0.31669426363938163,8.57311477976206,22.846860817905213,0.0,1.4088541666666667
baseline,action_only_adaptive_base_stock,5761,7,9,22,198,-3.793584409123998,-3.7393732944270806,4.343513654749599,0.9996874669153147,0.28995318479605553,9.030347337512815,22.802111992132314,0.0,1.1119791666666667
baseline,action_only_adaptive_base_stock,6761,7,9,22,198,-3.658210991434782,-3.773511715300636,4.367945355967948,0.9995874082084141,0.37055348356280565,8.59551327361978,22.949164864219,0.0,1.4088541666666667
baseline,action_only_adaptive_base_stock,7761,7,9,22,198,-3.5515124710391985,-3.693048046729357,4.28288636238582,0.999764945707058,0.21892973638285187,7.954571282043463,22.70790606715167,0.0,1.609375
baseline,action_only_adaptive_base_stock,8761,7,9,22,198,-3.8867120377170936,-3.7508282082998705,4.349974576989582,0.9995417335862139,0.4245353520255633,8.853007394542288,23.01707256611296,0.0,1.2395833333333333
baseline,action_only_adaptive_base_stock,9761,7,9,22,198,-3.7429688271315387,-3.6831193987034943,4.2775161409897455,0.9996413896607814,0.310551622428171,8.20970263747301,22.97391609414788,0.0,1.4244791666666667
baseline,action_only_adaptive_base_stock,10761,7,9,22,198,-3.8574590836317455,-3.704991813323405,4.299794055907783,0.9996041865730473,0.3577007203598819,8.448710415340924,22.931585879311125,0.0,1.4010416666666667
baseline,action_only_adaptive_base_stock,11761,7,9,22,198,-3.827917277956513,-3.693722642417699,4.286449804202568,0.9995205827231087,0.43010468961044684,8.391924994116971,22.87895928469045,0.0,1.4479166666666667
baseline,fixed_service_base_stock,3761,3,8,18,144,-3.8870714932076758,-3.7666911132682337,4.364459739754332,0.9997308439357623,0.2409169785686416,8.787325370890652,22.93606518065113,0.0,1.3359375
baseline,fixed_service_base_stock,4761,3,8,18,144,-3.810840221797581,-3.753026845408891,4.339682906222209,0.9996308357266649,0.3237911271685156,8.20892519170408,22.84707239727373,0.0,1.6796875
baseline,fixed_service_base_stock,5761,3,8,18,144,-3.830681054210525,-3.756232671282467,4.353526708336987,0.9996226921318149,0.3463125565642205,8.792783822366655,22.787903304977164,0.0,1.3229166666666667
baseline,fixed_service_base_stock,6761,3,8,18,144,-3.722930351635026,-3.8441665474029296,4.434224328067337,0.9994994100830511,0.4464763843236983,8.583692844960296,22.942466845399238,0.0,1.53125
baseline,fixed_service_base_stock,7761,3,8,18,144,-3.5762453754607533,-3.6914575150815274,4.28469653398041,0.9997798773623604,0.20442969077657813,8.190446939599786,22.709511169098135,0.0,1.5
baseline,fixed_service_base_stock,8761,3,8,18,144,-3.8743824379626792,-3.7362931311506222,4.3308144252763014,0.9995202398907099,0.44501534667633197,8.530765750014446,23.01326671855827,0.0,1.3880208333333333
baseline,fixed_service_base_stock,9761,3,8,18,144,-3.7843892568781037,-3.7106536516393316,4.298969243674268,0.9995941365043671,0.34946744564109505,8.042714120400253,22.96858257158254,0.0,1.6145833333333333
baseline,fixed_service_base_stock,10761,3,8,18,144,-3.8567260316137686,-3.7185148715736034,4.316227644218695,0.9996847997056365,0.28443367450197693,8.668033900661905,22.949455815288093,0.0,1.3255208333333333
baseline,fixed_service_base_stock,11761,3,8,18,144,-3.8524592543032385,-3.710757444869109,4.303089438185712,0.9995395460395754,0.4118201135917579,8.37500936808259,22.885160100061384,0.0,1.4661458333333333
baseline,fixed_service_base_stock,12761,3,8,18,144,-3.6346253784181277,-3.7043141713146333,4.300121688951393,0.999749377204595,0.23544384033679736,8.318883962262356,23.07568769901955,0.0,1.40625
volatile_demand,full_ndu_inventory,1858,12,10,24,240,-5.5535071259051865,-5.57366824501637,6.164935909347228,0.9996897080413572,0.31548459230930603,13.47294570464819,25.41103298234503,0.19495367505757755,1.5416666666666667
volatile_demand,full_ndu_inventory,2858,12,10,24,240,-5.4981848104181665,-5.59105041479889,6.173629752440983,0.9995314015802615,0.4682689800393294,13.031232974341037,25.240990277615833,0.1509468071808906,1.7890625
volatile_demand,full_ndu_inventory,3858,12,10,24,240,-5.4406057492580695,-5.5966302919958855,6.187184680160699,0.9995419547706016,0.46017040730042846,13.71139111294722,25.244212945769874,0.20141094196206008,1.5260416666666667
volatile_demand,full_ndu_inventory,4858,12,10,24,240,-5.7774681399754115,-5.615907663918374,6.221300734792081,0.9997756963592134,0.2293600370194084,14.771940354488976,25.25269568895793,0.26308982170885004,1.09375
volatile_demand,full_ndu_inventory,5858,12,10,24,240,-5.435352439537795,-5.618836215202471,6.196967858948767,0.9994734867182871,0.5453944709101067,12.894801576435304,25.159000498946764,0.13812678861903224,1.921875
volatile_demand,full_ndu_inventory,6858,12,10,24,240,-5.512159547763472,-5.610663537043062,6.192747988644548,0.9995964939501857,0.423798346419596,13.22641136715969,25.22693826850458,0.27145503300271084,1.8229166666666667
volatile_demand,full_ndu_inventory,7858,12,10,24,240,-5.520368358100638,-5.570705832040839,6.142375624922952,0.9993493491102642,0.650948208313901,12.361949478507318,25.273893497762206,0.15568206755520445,2.1041666666666665
volatile_demand,full_ndu_inventory,8858,12,10,24,240,-5.691130074929246,-5.522720244205961,6.116010339217785,0.9996300118764779,0.3741536821621392,13.652808541475709,25.444367951826298,0.21735459189091152,1.4583333333333333
volatile_demand,full_ndu_inventory,9858,12,10,24,240,-5.440959862070782,-5.563393542815857,6.146421016010909,0.9994214028993816,0.5844327957819039,13.181927070375394,25.26190309443214,0.13036502177111298,1.7447916666666667
volatile_demand,full_ndu_inventory,10858,12,10,24,240,-5.714652577223592,-5.561518414913891,6.161459007364141,0.9996605428062812,0.3438345001499478,14.22524661231441,25.329649776045084,0.2169674747518053,1.2447916666666667
volatile_demand,action_only_adaptive_base_stock,2858,7,9,22,198,-5.507716580153935,-5.604995218482903,6.177227367299321,0.9994098779770523,0.5906049077700275,12.51356186632549,25.211376071582794,0.0,2.1015625
volatile_demand,action_only_adaptive_base_stock,3858,7,9,22,198,-5.482850214897079,-5.602060517904124,6.182773257089905,0.9994445611482227,0.5518360264563201,13.114097730115681,25.227953396567415,0.0,1.828125
