method,seed,sku_count,test_months,training_months_per_sku,source_dataset,split,external_avg_cost,valuation_adjusted_welfare,theta_free_external_welfare,fill_rate,avg_order,avg_ending_inventory,avg_ending_backlog,lost_sales_rate,capacity_excess_rate,theta_mean,theta_std,target_fill_mean,periods
full_ndu_theta_service_control,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.357831765627,-0.0448165392496,-0.0624575164344,0.992762921054,0.937079278254,0.969991679917,0.046258329529,0,0.0583267940673,1.03938453168,0.185713319515,0.932095636422,156
rolling_forecast_base_stock_backlog,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.407432093707,-0.168350126271,-0.168350126271,0.987895079017,0.868246914465,0.759428772346,0.0742273267129,0,0.0402628770871,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.646330574006,-0.431655813152,-0.431655813152,0.915068030931,0.797160564629,0.738106829706,0,0.0849319690693,0.0163779702616,1,0,0.93,156
seasonal_service_tuned_base_stock,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.379561956316,-0.113605920803,-0.113605920803,0.989861793482,0.886107507816,0.82138747817,0.0617331639755,0,0.0383478995259,1,0,0.93,156
mpc_scenario_base_stock,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.394039192019,-0.151066223209,-0.151066223209,0.984602038761,0.887820512821,0.802002272227,0.0656362284129,0,0.0487334185327,1,0,0.93,156
approximate_dp_inventory,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.354434031755,-0.056227162515,-0.056227162515,0.993130257771,0.935493100713,0.959489188989,0.0453584894495,0,0.0505210521899,1,0,0.93,156
tabular_inventory_rl,7100,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.436244983806,-0.200402088649,-0.200402088649,0.983550375138,0.866390313378,0.758526551245,0.0837226833362,0,0.0423724985657,1,0,0.93,156
full_ndu_theta_service_control,7197,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.348468474152,-0.0265755969293,-0.0444720016049,0.998979141987,0.960802982201,0.949095053655,0.0433819374027,0,0.0651142920406,1.03969254756,0.195602699814,0.932112577295,156
rolling_forecast_base_stock_backlog,7197,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.386021266043,-0.131660028721,-0.131660028721,0.993829621101,0.894036768404,0.746337877409,0.0679180700717,0,0.0512545262989,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7197,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.584398509454,-0.347168639981,-0.347168639981,0.926215923059,0.82899532349,0.734404715011,0,0.0737840769413,0.0231940026729,1,0,0.93,156
