sku,month_index,month_name,raw_demand,normalized_demand,split,unit_cost,retail_price,lead_time,initial_inventory_normalized,initial_backlog_normalized,margin_ratio,shortage_weight,capacity_normalized,source_dataset,source_url,source_license
SKU001,1,jan,1509.000000,0.7701435407,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,2,feb,1855.000000,0.9467304625,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,3,mar,2665.000000,1.3601275917,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,4,apr,1841.000000,0.9395853270,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,5,may,1231.000000,0.6282615630,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,6,jun,2598.000000,1.3259330144,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,7,jul,1988.000000,1.0146092504,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,8,aug,1988.000000,1.0146092504,train,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,9,sep,2927.000000,1.4938437002,test,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
SKU001,10,oct,2707.000000,1.3815629984,test,1001.000000,5000.000000,2,0.5118979266,0.0051036683,0.7998000000,3.1896300000,2.4499500000,supplychainpy sample complete_dataset_small.csv,https://github.com/KevinFasusi/supplychainpy,BSD-3-Clause-style upstream LICENSE
