month_index,year,month,raw_passengers,scaled_demand,split,source
1,1949,1,112,5.600000,train,R datasets::AirPassengers via Rdatasets
2,1949,2,118,5.900000,train,R datasets::AirPassengers via Rdatasets
3,1949,3,132,6.600000,train,R datasets::AirPassengers via Rdatasets
4,1949,4,129,6.450000,train,R datasets::AirPassengers via Rdatasets
5,1949,5,121,6.050000,train,R datasets::AirPassengers via Rdatasets
6,1949,6,135,6.750000,train,R datasets::AirPassengers via Rdatasets
7,1949,7,148,7.400000,train,R datasets::AirPassengers via Rdatasets
8,1949,8,148,7.400000,train,R datasets::AirPassengers via Rdatasets
9,1949,9,136,6.800000,train,R datasets::AirPassengers via Rdatasets
10,1949,10,119,5.950000,train,R datasets::AirPassengers via Rdatasets
11,1949,11,104,5.200000,train,R datasets::AirPassengers via Rdatasets
12,1949,12,118,5.900000,train,R datasets::AirPassengers via Rdatasets
13,1950,1,115,5.750000,train,R datasets::AirPassengers via Rdatasets
14,1950,2,126,6.300000,train,R datasets::AirPassengers via Rdatasets
15,1950,3,141,7.050000,train,R datasets::AirPassengers via Rdatasets
16,1950,4,135,6.750000,train,R datasets::AirPassengers via Rdatasets
17,1950,5,125,6.250000,train,R datasets::AirPassengers via Rdatasets
18,1950,6,149,7.450000,train,R datasets::AirPassengers via Rdatasets
19,1950,7,170,8.500000,train,R datasets::AirPassengers via Rdatasets
20,1950,8,170,8.500000,train,R datasets::AirPassengers via Rdatasets
21,1950,9,158,7.900000,train,R datasets::AirPassengers via Rdatasets
22,1950,10,133,6.650000,train,R datasets::AirPassengers via Rdatasets
23,1950,11,114,5.700000,train,R datasets::AirPassengers via Rdatasets
24,1950,12,140,7.000000,train,R datasets::AirPassengers via Rdatasets
25,1951,1,145,7.250000,train,R datasets::AirPassengers via Rdatasets
26,1951,2,150,7.500000,train,R datasets::AirPassengers via Rdatasets
27,1951,3,178,8.900000,train,R datasets::AirPassengers via Rdatasets
28,1951,4,163,8.150000,train,R datasets::AirPassengers via Rdatasets
29,1951,5,172,8.600000,train,R datasets::AirPassengers via Rdatasets
30,1951,6,178,8.900000,train,R datasets::AirPassengers via Rdatasets
31,1951,7,199,9.950000,train,R datasets::AirPassengers via Rdatasets
32,1951,8,199,9.950000,train,R datasets::AirPassengers via Rdatasets
33,1951,9,184,9.200000,train,R datasets::AirPassengers via Rdatasets
34,1951,10,162,8.100000,train,R datasets::AirPassengers via Rdatasets
35,1951,11,146,7.300000,train,R datasets::AirPassengers via Rdatasets
36,1951,12,166,8.300000,train,R datasets::AirPassengers via Rdatasets
37,1952,1,171,8.550000,train,R datasets::AirPassengers via Rdatasets
38,1952,2,180,9.000000,train,R datasets::AirPassengers via Rdatasets
39,1952,3,193,9.650000,train,R datasets::AirPassengers via Rdatasets
40,1952,4,181,9.050000,train,R datasets::AirPassengers via Rdatasets
41,1952,5,183,9.150000,train,R datasets::AirPassengers via Rdatasets
42,1952,6,218,10.900000,train,R datasets::AirPassengers via Rdatasets
43,1952,7,230,11.500000,train,R datasets::AirPassengers via Rdatasets
44,1952,8,242,12.100000,train,R datasets::AirPassengers via Rdatasets
45,1952,9,209,10.450000,train,R datasets::AirPassengers via Rdatasets
46,1952,10,191,9.550000,train,R datasets::AirPassengers via Rdatasets
47,1952,11,172,8.600000,train,R datasets::AirPassengers via Rdatasets
48,1952,12,194,9.700000,train,R datasets::AirPassengers via Rdatasets
49,1953,1,196,9.800000,train,R datasets::AirPassengers via Rdatasets
