component,scenario,base_budget_product,slope_multiplier,radius_multiplier,stressed_budget_product,threshold,margin,stress_status,interpretation
state_feature_clipping,nominal_budget,5.000000,1.000000,1.000000,5.000000,12.000000,7.000000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
state_feature_clipping,slope_stress_1p25x,5.000000,1.250000,1.000000,6.250000,12.000000,5.750000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
state_feature_clipping,radius_stress_1p50x,5.000000,1.000000,1.500000,7.500000,12.000000,4.500000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
actor_tanh_control_map,nominal_budget,1.000000,1.000000,1.000000,1.000000,12.000000,11.000000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
actor_tanh_control_map,slope_stress_1p25x,1.000000,1.250000,1.000000,1.250000,12.000000,10.750000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
actor_tanh_control_map,radius_stress_1p50x,1.000000,1.000000,1.500000,1.500000,12.000000,10.500000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
preference_sigmoid_map,nominal_budget,0.250000,1.000000,1.000000,0.250000,12.000000,11.750000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
preference_sigmoid_map,slope_stress_1p25x,0.250000,1.250000,1.000000,0.312500,12.000000,11.687500,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
preference_sigmoid_map,radius_stress_1p50x,0.250000,1.000000,1.500000,0.375000,12.000000,11.625000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
belief_simplex_clip,nominal_budget,1.100000,1.000000,1.000000,1.100000,12.000000,10.900000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
belief_simplex_clip,slope_stress_1p25x,1.100000,1.250000,1.000000,1.375000,12.000000,10.625000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
belief_simplex_clip,radius_stress_1p50x,1.100000,1.000000,1.500000,1.650000,12.000000,10.350000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
portfolio_l1_normalization,nominal_budget,2.000000,1.000000,1.000000,2.000000,12.000000,10.000000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
portfolio_l1_normalization,slope_stress_1p25x,2.000000,1.250000,1.000000,2.500000,12.000000,9.500000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
portfolio_l1_normalization,radius_stress_1p50x,2.000000,1.000000,1.500000,3.000000,12.000000,9.000000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
value_mlp_gradient_clip,nominal_budget,7.500000,1.000000,1.000000,7.500000,12.000000,4.500000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
value_mlp_gradient_clip,slope_stress_1p25x,7.500000,1.250000,1.000000,9.375000,12.000000,2.625000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
value_mlp_gradient_clip,radius_stress_1p50x,7.500000,1.000000,1.500000,11.250000,12.000000,0.750000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
cem_variance_cap,nominal_budget,2.800000,1.000000,1.000000,2.800000,12.000000,9.200000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
cem_variance_cap,slope_stress_1p25x,2.800000,1.250000,1.000000,3.500000,12.000000,8.500000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
cem_variance_cap,radius_stress_1p50x,2.800000,1.000000,1.500000,4.200000,12.000000,7.800000,budget_stress_guard_pass,finite implementation budget keeps positive stress margin under this deterministic perturbation
