evaluations,full_ndu_joint,fixed_pref_rl,augmented_state_rl,preference_only
24,,-2.778864739128541,,-2.7886549498831674
32,,-2.778864739128541,-2.7706069046052999,-2.7886549498831674
46,-2.7768062481284943,-2.778864739128541,-2.7706069046052999,-2.7886549498831674
48,-2.7768062481284943,-2.7652607397308175,-2.7706069046052999,-2.7742940321696148
64,-2.7768062481284943,-2.7652607397308175,-2.7657236451354845,-2.7742940321696148
72,-2.7768062481284943,-2.7614647131670242,-2.7657236451354845,-2.7702809950511544
92,-2.760973947822134,-2.7614647131670242,-2.7657236451354845,-2.7702809950511544
96,-2.760973947822134,-2.7599175587395504,-2.7623788995608902,-2.7690984416388837
120,-2.760973947822134,-2.7566853362220489,-2.7623788995608902,-2.7685757500625421
128,-2.760973947822134,-2.7566853362220489,-2.7617837591023005,-2.7685757500625421
138,-2.7451658768933105,-2.7566853362220489,-2.7617837591023005,-2.7685757500625421
144,-2.7451658768933105,-2.7546162742400888,-2.7617837591023005,-2.7679596197555476
160,-2.7451658768933105,-2.7546162742400888,-2.7584542899507865,-2.7679596197555476
168,-2.7451658768933105,-2.7540833275294472,-2.7584542899507865,-2.7676001440644442
184,-2.7400437896696612,-2.7540833275294472,-2.7584542899507865,-2.7676001440644442
192,-2.7400437896696612,-2.7526786420030218,-2.7567354417627477,-2.7674941120019549
224,-2.7400437896696612,-2.7526786420030218,-2.7557653077018109,-2.7674941120019549
230,-2.7374334651557373,-2.7526786420030218,-2.7557653077018109,-2.7674941120019549
256,-2.7374334651557373,-2.7526786420030218,-2.754990672732454,-2.7674941120019549
276,-2.7324280518824469,-2.7526786420030218,-2.754990672732454,-2.7674941120019549
288,-2.7324280518824469,-2.7526786420030218,-2.7546931630827896,-2.7674941120019549
320,-2.7324280518824469,-2.7526786420030218,-2.7543158484430732,-2.7674941120019549
322,-2.7304098992969106,-2.7526786420030218,-2.7543158484430732,-2.7674941120019549
352,-2.7304098992969106,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
368,-2.7278954306979122,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
414,-2.7273434451523952,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
460,-2.7253744808552032,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
506,-2.724482260046714,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
552,-2.7237086005016438,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
598,-2.7230612811639197,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
644,-2.7223358514709766,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
690,-2.7220753085285034,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
736,-2.7218397734205184,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
782,-2.7215455936780906,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
828,-2.7212459947841761,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549
