config,seed_index,method,train_seed,eval_seed,iterations,population,policy_evaluations,objective,search_score,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
welfare_1536_confirm24,0,full_ndu_inventory,13061,1199000,32,48,1536,welfare,-3.6204997418777456,-3.686275582187845,-3.6838076767097814,4.2824719192295815,4.280004013751518,0.9996270811927171,0.34118371137516923,8.429238667023773,22.894247214823604,0.055269423819916196,0.22549416979177533,1.3606770833333333
welfare_1536_confirm24,0,action_only_adaptive_base_stock,13161,1199000,32,48,1536,welfare,-3.6037739739083903,-3.7314432223116287,-3.7314432223116287,4.30993844108015,4.30993844108015,0.9995824101585652,0.37971499744941983,7.633662457895004,22.888003990813104,0.0,0.0,1.9388020833333333
welfare_1536_confirm24,1,full_ndu_inventory,14061,1199001,32,48,1536,welfare,-3.5880672635391995,-3.6745906129238795,-3.672714321839834,4.267562765228427,4.265686474144381,0.9996049174755685,0.3619211290929381,8.198400688087657,22.814015972627487,0.05253634264339194,0.1947681045276826,1.4622395833333333
welfare_1536_confirm24,1,action_only_adaptive_base_stock,14161,1199001,32,48,1536,welfare,-3.664033165986156,-3.6840431838851924,-3.6840431838851924,4.283171408871564,4.283171408871564,0.9997250124982964,0.254279657875449,8.545669503870034,22.840821454029236,0.0,0.0,1.2890625
welfare_1536_confirm24,2,full_ndu_inventory,15061,1199002,32,48,1536,welfare,-3.7059937171328614,-3.678211601224829,-3.6750592148996524,4.281430898829474,4.278278512504297,0.9997774122005806,0.2052581664948523,8.65545074418513,23.117216662053,0.18453121694735763,0.21207752430260401,1.1666666666666667
welfare_1536_confirm24,2,action_only_adaptive_base_stock,15161,1199002,32,48,1536,welfare,-3.6339627269541857,-3.6778342102098716,-3.6778342102098716,4.274032250516014,4.274032250516014,0.9997200675382677,0.25774315372298934,8.278313015207413,23.10353472877397,0.0,0.0,1.3854166666666667
welfare_1536_confirm24,3,full_ndu_inventory,16061,1199003,32,48,1536,welfare,-3.750552582265913,-3.7357676002695097,-3.7349869710622396,4.336389219416437,4.335608590209167,0.999745671143366,0.2344473997539689,8.790737650565632,22.931044264845795,0.10163753078464914,0.10724938449225198,1.2447916666666667
welfare_1536_confirm24,3,action_only_adaptive_base_stock,16161,1199003,32,48,1536,welfare,-3.675013425546045,-3.760611078500427,-3.760611078500427,4.341858215617556,4.341858215617556,0.9995113608896412,0.44581709751436366,7.8558716168590665,22.882176235964987,0.0,0.0,1.828125
welfare_1536_confirm24,4,full_ndu_inventory,17061,1199004,32,48,1536,welfare,-3.761773532826512,-3.6919699730173616,-3.689846275195997,4.291674613867097,4.289550916045733,0.999704291043717,0.2718178586829068,8.541894591161338,23.095752438949933,0.05589190693146051,0.20655201426024278,1.2643229166666667
welfare_1536_confirm24,4,action_only_adaptive_base_stock,17161,1199004,32,48,1536,welfare,-3.6900529673506512,-3.710886150989728,-3.710886150989728,4.3067946872078275,4.3067946872078275,0.9996643482772624,0.3095129978517542,8.447014318010561,23.088845068837117,0.0,0.0,1.3802083333333333
welfare_1536_confirm24,5,full_ndu_inventory,18061,1199005,32,48,1536,welfare,-3.745017543627567,-3.659116828758332,-3.657770151024286,4.256195632374991,4.254848954640946,0.9997764520145825,0.20279613414098888,8.297953943478587,22.861121429182177,0.12593152349457234,0.14171466294584345,1.37109375
welfare_1536_confirm24,5,action_only_adaptive_base_stock,18161,1199005,32,48,1536,welfare,-3.715624564252709,-3.6873617061863286,-3.6873617061863286,4.284385564004734,4.284385564004734,0.9997354041023007,0.23746850887160872,8.453468301603248,22.851513632429626,0.0,0.0,1.3619791666666667
welfare_1536_confirm24,6,full_ndu_inventory,19061,1199006,32,48,1536,welfare,-3.6958957750057237,-3.6919052214324566,-3.690849921043505,4.290222793254498,4.289167492865546,0.999735985540255,0.24569632654350085,8.527983978027715,22.89654168897503,0.07925292848508718,0.13144189224629302,1.3190104166666667
welfare_1536_confirm24,6,action_only_adaptive_base_stock,19161,1199006,32,48,1536,welfare,-3.83672631888767,-3.6962471740405625,-3.6962471740405625,4.299443771158454,4.299443771158454,0.9997696918272364,0.21197725150627725,8.826534792748921,22.908058967929204,0.0,0.0,1.1653645833333333
welfare_1536_confirm24,7,full_ndu_inventory,20061,1199007,32,48,1536,welfare,-3.706230698803202,-3.67523842934906,-3.674851395456612,4.277103636032381,4.276716602139934,0.999759518022915,0.2259102106532992,8.622734323909318,22.975207790786055,0.07959196403596486,0.0764159931668578,1.20703125
welfare_1536_confirm24,7,action_only_adaptive_base_stock,20161,1199007,32,48,1536,welfare,-3.648755007205653,-3.6800057853895183,-3.6800057853895183,4.278207514699553,4.278207514699553,0.9997166224137546,0.2642703804495841,8.433108435734058,22.96531002020887,0.0,0.0,1.3177083333333333
welfare_1536_confirm24,8,full_ndu_inventory,21061,1199008,32,48,1536,welfare,-3.687135533820871,-3.6711348262660084,-3.670092310698307,4.274712762110343,4.273670246542642,0.999661109168042,0.31258963006366436,8.77076718846864,22.96101953755347,0.07714256607665626,0.13357761688211814,1.1236979166666667
welfare_1536_confirm24,8,action_only_adaptive_base_stock,21161,1199008,32,48,1536,welfare,-3.687823735233325,-3.67999130203057,-3.67999130203057,4.281045840783984,4.281045840783984,0.999672832969177,0.30248949748267906,8.643240065516693,22.963820049716997,0.0,0.0,1.2109375
welfare_1536_confirm24,9,full_ndu_inventory,22061,1199009,32,48,1536,welfare,-3.633661217006349,-3.7241324101914848,-3.722886902002525,4.317695717756625,4.316450209567667,0.9996495150081427,0.3283471685485777,8.406266186961558,22.808320045559828,0.12730609592330944,0.1374264312607713,1.4544270833333333
welfare_1536_confirm24,9,action_only_adaptive_base_stock,22161,1199009,32,48,1536,welfare,-3.736830297737253,-3.7164620292338886,-3.7164620292338886,4.314431683208481,4.314431683208481,0.9996631989343241,0.31518633817417974,8.650771583242836,22.810168167397048,0.0,0.0,1.3111979166666667
welfare_1536_confirm24,10,full_ndu_inventory,23061,1199010,32,48,1536,welfare,-3.6790298841284734,-3.7044586851056316,-3.7026015959509007,4.29840698052189,4.296549891367159,0.9996292791145324,0.33177070017692883,8.276444025622359,22.955614645487014,0.049780987630555516,0.1941938558396285,1.4361979166666667
