method,t,inventory,regime,action_pressure,theta
action_only_exact_dp,0,24,0,0.7,1.0
action_only_exact_dp,0,24,1,0.7,1.0
action_only_exact_dp,1,24,0,0.7,1.0
action_only_exact_dp,1,24,1,0.7,1.0
action_only_exact_dp,1,23,0,0.7,1.0
action_only_exact_dp,1,23,1,0.7,1.0
action_only_exact_dp,1,22,0,0.7,1.0
action_only_exact_dp,1,22,1,0.7,1.0
action_only_exact_dp,1,21,0,0.7,1.0
action_only_exact_dp,1,21,1,0.7,1.0
action_only_exact_dp,1,20,0,0.7,1.0
action_only_exact_dp,1,20,1,0.7,1.0
action_only_exact_dp,1,19,0,0.7,1.0
action_only_exact_dp,1,19,1,0.7,1.0
action_only_exact_dp,1,18,0,0.7,1.0
action_only_exact_dp,1,18,1,0.7,1.0
action_only_exact_dp,1,17,0,0.7,1.0
action_only_exact_dp,1,17,1,0.7,1.0
action_only_exact_dp,1,16,0,0.7,1.0
action_only_exact_dp,1,16,1,0.7,1.0
action_only_exact_dp,1,15,0,0.7,1.0
action_only_exact_dp,1,15,1,0.7,1.0
action_only_exact_dp,1,14,0,0.7,1.0
action_only_exact_dp,1,14,1,0.7,1.0
action_only_exact_dp,1,13,0,0.7,1.0
action_only_exact_dp,1,13,1,0.7,1.0
action_only_exact_dp,1,12,0,0.7,1.0
action_only_exact_dp,1,12,1,0.7,1.0
action_only_exact_dp,1,11,0,0.7,1.0
action_only_exact_dp,1,11,1,0.7,1.0
action_only_exact_dp,1,10,0,0.7,1.0
action_only_exact_dp,1,10,1,0.7,1.0
action_only_exact_dp,2,24,0,0.7,1.0
action_only_exact_dp,2,24,1,0.7,1.0
action_only_exact_dp,2,23,0,0.7,1.0
action_only_exact_dp,2,23,1,0.7,1.0
action_only_exact_dp,2,22,0,0.7,1.0
action_only_exact_dp,2,22,1,0.7,1.0
action_only_exact_dp,2,21,0,0.7,1.0
action_only_exact_dp,2,21,1,0.7,1.0
action_only_exact_dp,2,20,0,0.7,1.0
action_only_exact_dp,2,20,1,0.7,1.0
action_only_exact_dp,2,19,0,0.7,1.0
action_only_exact_dp,2,19,1,0.7,1.0
action_only_exact_dp,2,18,0,0.7,1.0
action_only_exact_dp,2,18,1,0.7,1.0
action_only_exact_dp,2,17,0,0.7,1.0
action_only_exact_dp,2,17,1,0.7,1.0
action_only_exact_dp,2,16,0,0.7,1.0
action_only_exact_dp,2,16,1,0.7,1.0
action_only_exact_dp,2,15,0,0.7,1.0
action_only_exact_dp,2,15,1,0.7,1.0
action_only_exact_dp,2,14,0,0.7,1.0
action_only_exact_dp,2,14,1,0.7,1.0
action_only_exact_dp,2,13,0,0.7,1.0
action_only_exact_dp,2,13,1,0.7,1.0
action_only_exact_dp,2,12,0,0.7,1.0
action_only_exact_dp,2,12,1,0.7,1.0
action_only_exact_dp,2,11,0,0.7,1.0
action_only_exact_dp,2,11,1,0.7,1.0
action_only_exact_dp,2,10,0,0.7,1.0
action_only_exact_dp,2,10,1,0.7,1.0
action_only_exact_dp,2,9,0,0.7,1.0
action_only_exact_dp,2,9,1,0.7,1.0
action_only_exact_dp,2,8,0,0.7,1.0
action_only_exact_dp,2,8,1,0.7,1.0
action_only_exact_dp,2,7,0,0.7,1.0
action_only_exact_dp,2,7,1,0.7,1.0
action_only_exact_dp,2,6,0,0.7,1.0
action_only_exact_dp,2,6,1,0.7,1.0
action_only_exact_dp,2,5,0,0.7,1.0
action_only_exact_dp,2,5,1,0.7,1.0
action_only_exact_dp,2,4,0,0.7,1.0
action_only_exact_dp,2,4,1,0.7,1.0
action_only_exact_dp,2,3,0,0.7,1.0
action_only_exact_dp,2,3,1,0.7,1.0
action_only_exact_dp,2,2,0,0.7,1.0
action_only_exact_dp,2,2,1,0.7,1.0
action_only_exact_dp,2,1,0,0.7,1.0
action_only_exact_dp,2,1,1,0.7,1.0
action_only_exact_dp,2,0,0,0.7,1.0
action_only_exact_dp,2,0,1,0.7,1.0
action_only_exact_dp,2,-1,0,0.7,1.0
action_only_exact_dp,2,-1,1,0.7,1.0
action_only_exact_dp,2,-2,0,0.7,1.0
action_only_exact_dp,2,-2,1,0.7,1.0
action_only_exact_dp,2,-3,0,0.7,1.0
action_only_exact_dp,2,-3,1,0.7,1.0
action_only_exact_dp,3,24,0,0.7,1.0
action_only_exact_dp,3,24,1,0.7,1.0
action_only_exact_dp,3,23,0,0.7,1.0
action_only_exact_dp,3,23,1,0.7,1.0
action_only_exact_dp,3,22,0,0.7,1.0
action_only_exact_dp,3,22,1,0.7,1.0
action_only_exact_dp,3,21,0,0.7,1.0
action_only_exact_dp,3,21,1,0.7,1.0
action_only_exact_dp,3,20,0,0.7,1.0
action_only_exact_dp,3,20,1,0.7,1.0
action_only_exact_dp,3,19,0,0.7,1.0
action_only_exact_dp,3,19,1,0.7,1.0
action_only_exact_dp,3,18,0,0.7,1.0
action_only_exact_dp,3,18,1,0.7,1.0
action_only_exact_dp,3,17,0,0.7,1.0
action_only_exact_dp,3,17,1,0.7,1.0
action_only_exact_dp,3,16,0,0.7,1.0
action_only_exact_dp,3,16,1,0.7,1.0
action_only_exact_dp,3,15,0,0.7,1.0
action_only_exact_dp,3,15,1,0.7,1.0
action_only_exact_dp,3,14,0,0.7,1.0
action_only_exact_dp,3,14,1,0.7,1.0
action_only_exact_dp,3,13,0,0.7,1.0
action_only_exact_dp,3,13,1,0.7,1.0
action_only_exact_dp,3,12,0,0.7,1.0
action_only_exact_dp,3,12,1,0.7,1.0
action_only_exact_dp,3,11,0,0.7,1.0
action_only_exact_dp,3,11,1,0.7,1.0
action_only_exact_dp,3,10,0,0.7,1.0
action_only_exact_dp,3,10,1,0.7,1.0
action_only_exact_dp,3,9,0,0.7,1.0
action_only_exact_dp,3,9,1,0.7,1.0
action_only_exact_dp,3,8,0,0.7,1.0
action_only_exact_dp,3,8,1,0.7,1.0
action_only_exact_dp,3,7,0,0.7,1.0
action_only_exact_dp,3,7,1,0.7,1.0
action_only_exact_dp,3,6,0,0.7,1.0
action_only_exact_dp,3,6,1,0.7,1.0
action_only_exact_dp,3,5,0,0.7,1.0
action_only_exact_dp,3,5,1,0.7,1.0
action_only_exact_dp,3,4,0,0.7,1.0
action_only_exact_dp,3,4,1,0.7,1.0
action_only_exact_dp,3,3,0,0.7,1.0
action_only_exact_dp,3,3,1,0.7,1.0
action_only_exact_dp,3,2,0,0.7,1.0
action_only_exact_dp,3,2,1,0.7,1.0
action_only_exact_dp,3,1,0,0.7,1.0
action_only_exact_dp,3,1,1,0.7,1.0
action_only_exact_dp,3,0,0,0.7,1.0
action_only_exact_dp,3,0,1,0.7,1.0
action_only_exact_dp,3,-1,0,0.7,1.0
