audit,epsilon,method,seed,training_samples,noise_std,network,train_p_rmse_direct,train_p_rmse_z_inverted,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.021979565767825854,-6.30945566485425,6.946068282342068,0.9999574365609771,0.04007582018123892,20.01757328489861,23.19423415962315,0.1015625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.021979565767825854,-6.3091332947859975,6.945669297296531,0.9999551839075667,0.041885498824733816,20.010888207161614,23.19047700110389,0.103515625,0.011337089880271286,0.015173873900933535
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.021979565767825854,-6.269776921164769,6.90614082705711,0.9999556444865426,0.041821784186916414,19.859863579179915,23.189861712874325,0.109375,0.023978294805865448,0.030038923055970345
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.023865888482344437,-6.344107141148762,6.981322326644269,0.9999814880306883,0.01630760656131266,20.11787730626589,23.39054776574647,0.087890625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.023865888482344437,-6.359338988868764,6.996676011993667,0.999982069296863,0.01579683053260663,20.175683106300617,23.393156800060627,0.083984375,0.01113262938270172,0.013776782030136898
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.023865888482344437,-6.260896307113395,6.898111672645988,0.9999815105353241,0.016285753288069867,19.817675351170436,23.38796819957105,0.087890625,0.029598538513947146,0.0355376157944721
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.018097316381879707,-6.322893798472619,6.960104360597619,0.9999735858906249,0.023572395482698183,20.069410853579157,23.347580024615098,0.0859375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.018097316381879707,-6.332902707621185,6.970106666712478,0.9999727605114117,0.02428555129130061,20.098856010430097,23.347481987058814,0.0859375,0.00982361571554061,0.013046156776248373
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.018097316381879707,-6.284301272033373,6.9214440923981835,0.9999724423893515,0.02456945745055146,19.922917569924792,23.343577159601555,0.087890625,0.018441668360303202,0.024547294560543855
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,16841,720,0.03,numpy_tanh_mlp_width_32,0.011445713050569063,0.025977043198565013,-6.26450742059874,6.901719368833962,0.9999884075919029,0.010465688837552993,19.886241348237,23.171227231105476,0.08984375,0.0,0.0
