method,month_index,year,month,scaled_demand,order_quantity,theta,ending_inventory,ending_backlog,fill_rate,period_cost,period_welfare
adaptive_valuation_service_replay,109,1958,1,17.000000,1.847029,0.750000,0.000000,3.608063,0.787761,10.387379,-11.475291
adaptive_valuation_service_replay,110,1958,2,15.900000,19.171028,0.999013,0.000000,0.337036,0.982723,2.014958,-1.513172
adaptive_valuation_service_replay,111,1958,3,18.100000,16.807389,0.854176,0.000000,1.629646,0.911610,5.569855,-5.666974
adaptive_valuation_service_replay,112,1958,4,17.400000,19.350377,0.915014,0.320730,0.000000,1.000000,1.154400,-0.514400
adaptive_valuation_service_replay,113,1958,5,18.150000,17.694622,0.820355,0.000000,0.134647,0.992581,1.358401,-0.777750
adaptive_valuation_service_replay,114,1958,6,21.750000,19.505647,0.827856,0.000000,2.379000,0.891294,7.854295,-8.113945
adaptive_valuation_service_replay,115,1958,7,24.550000,24.182708,0.962603,0.000000,2.746292,0.898017,9.157044,-9.362906
adaptive_valuation_service_replay,116,1958,8,25.250000,26.411336,1.009628,0.000000,1.584956,0.943387,5.969752,-5.782656
adaptive_valuation_service_replay,117,1958,9,20.200000,25.632852,0.942923,3.847896,0.000000,1.000000,2.487364,-1.847364
adaptive_valuation_service_replay,118,1958,10,17.950000,18.178061,0.750000,4.075957,0.000000,1.000000,2.143874,-1.503874
adaptive_valuation_service_replay,119,1958,11,15.500000,16.287124,0.750000,4.863081,0.000000,1.000000,2.260267,-1.620267
adaptive_valuation_service_replay,120,1958,12,16.850000,14.481389,0.750000,2.494470,0.000000,1.000000,1.497740,-0.857740
adaptive_valuation_service_replay,121,1959,1,18.000000,16.051909,0.750000,0.546379,0.000000,1.000000,1.038654,-0.398654
adaptive_valuation_service_replay,122,1959,2,17.100000,17.946063,0.756846,1.392441,0.000000,1.000000,1.379578,-0.739578
adaptive_valuation_service_replay,123,1959,3,20.300000,17.421248,0.750000,0.000000,1.486311,0.926783,5.196967,-5.142706
adaptive_valuation_service_replay,124,1959,4,19.800000,21.413295,0.873233,0.126984,0.000000,1.000000,1.214010,-0.574010
adaptive_valuation_service_replay,125,1959,5,21.000000,20.016284,0.803581,0.000000,0.856732,0.959203,3.544318,-3.230692
adaptive_valuation_service_replay,126,1959,6,23.600000,22.524024,0.837997,0.000000,1.932708,0.920974,6.748219,-6.740424
adaptive_valuation_service_replay,127,1959,7,27.400000,25.608876,0.923243,0.000000,3.723831,0.873048,12.021673,-12.427285
adaptive_valuation_service_replay,128,1959,8,27.950000,29.649988,1.030872,0.000000,2.023843,0.936104,7.398746,-7.269917
adaptive_valuation_service_replay,129,1959,9,23.150000,28.293929,0.949247,3.120086,0.000000,1.000000,2.429906,-1.789906
adaptive_valuation_service_replay,130,1959,10,20.350000,21.147245,0.750000,3.917331,0.000000,1.000000,2.262764,-1.622764
adaptive_valuation_service_replay,131,1959,11,18.100000,18.580962,0.750000,4.398293,0.000000,1.000000,2.256288,-1.616288
adaptive_valuation_service_replay,132,1959,12,20.250000,17.077698,0.750000,1.225991,0.000000,1.000000,1.285363,-0.645363
adaptive_valuation_service_replay,133,1960,1,20.850000,19.698141,0.750000,0.074132,0.000000,1.000000,1.106967,-0.466967
adaptive_valuation_service_replay,134,1960,2,19.550000,20.773514,0.754172,1.297646,0.000000,1.000000,1.508604,-0.868604
adaptive_valuation_service_replay,135,1960,3,20.950000,19.740062,0.750000,0.087708,0.000000,1.000000,1.113074,-0.473074
adaptive_valuation_service_replay,136,1960,4,23.050000,21.146966,0.778719,0.000000,1.815326,0.921244,6.338965,-6.329013
adaptive_valuation_service_replay,137,1960,5,23.600000,24.196441,0.863666,0.000000,1.218885,0.952041,4.805463,-4.549132
adaptive_valuation_service_replay,138,1960,6,26.750000,24.984956,0.845579,0.000000,2.983929,0.893313,9.879442,-10.122942
