experiment,method,metric,n,mean,std,se,ci95_halfwidth,display
exp1,augmented_state_rl,mean_utility,30,-2.760730904843469,0.0073069387052444945,0.0013340583850566673,0.002614754434711068,-2.7607 ± 0.0026
exp1,augmented_state_rl,cew,30,-0.9367528521797438,0.00045820506569267574,8.365641681433833e-05,0.00016396657695610313,-0.9368 ± 0.0002
exp1,augmented_state_rl,ruin_prob,30,1.0,0.0,0.0,0.0,1.0000 ± 0.0000
exp1,augmented_state_rl,surplus_ratio,30,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
exp1,augmented_state_rl,adaptation_lag,30,0.5,0.0,0.0,0.0,0.5000 ± 0.0000
exp1,augmented_state_rl,wealth_terminal,30,1.027082376603904,0.015094284052107394,0.002755826621576568,0.0054014201782900725,1.0271 ± 0.0054
exp1,fixed_pref_rl,mean_utility,30,-2.764246131999326,0.007224530367127889,0.001319012749819008,0.0025852649896452554,-2.7642 ± 0.0026
exp1,fixed_pref_rl,cew,30,-0.9369748194794868,0.00045433951292322543,8.29506666646535e-05,0.00016258330666272088,-0.9370 ± 0.0002
exp1,fixed_pref_rl,ruin_prob,30,1.0,0.0,0.0,0.0,1.0000 ± 0.0000
exp1,fixed_pref_rl,surplus_ratio,30,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
exp1,fixed_pref_rl,adaptation_lag,30,0.5,0.0,0.0,0.0,0.5000 ± 0.0000
exp1,fixed_pref_rl,wealth_terminal,30,1.0192097557725075,0.012881079971507937,0.0023517526884742996,0.004609435269409627,1.0192 ± 0.0046
exp1,full_ndu_joint,mean_utility,30,-2.728388024702559,0.004996657563842925,0.0009122606866151933,0.001788030945765779,-2.7284 ± 0.0018
exp1,full_ndu_joint,cew,30,-0.9346747051726176,0.00032653963947231905,5.961770881953116e-05,0.00011685070928628107,-0.9347 ± 0.0001
exp1,full_ndu_joint,ruin_prob,30,1.0,0.0,0.0,0.0,1.0000 ± 0.0000
exp1,full_ndu_joint,surplus_ratio,30,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
exp1,full_ndu_joint,adaptation_lag,30,0.5,0.0,0.0,0.0,0.5000 ± 0.0000
exp1,full_ndu_joint,wealth_terminal,30,1.0345200697435053,0.013012912560932682,0.0023758219161550496,0.004656610955663897,1.0345 ± 0.0047
exp1,preference_only,mean_utility,30,-2.766073715283154,0.004621991702510397,0.0008438563720222171,0.0016539584891635455,-2.7661 ± 0.0017
exp1,preference_only,cew,30,-0.9370908332321942,0.00029075005972659416,5.308345543607665e-05,0.00010404357265471022,-0.9371 ± 0.0001
exp1,preference_only,ruin_prob,30,1.0,0.0,0.0,0.0,1.0000 ± 0.0000
exp1,preference_only,surplus_ratio,30,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
exp1,preference_only,adaptation_lag,30,0.5,0.0,0.0,0.0,0.5000 ± 0.0000
exp1,preference_only,wealth_terminal,30,0.9568188556899373,0.010079348757202441,0.0018402288930938128,0.003606848630463873,0.9568 ± 0.0036
exp2,fixed_pref_recurrent_rl,mean_utility,30,-0.0005768333159269433,0.004187914408695019,0.0007646050635143904,0.0014986259244882051,-0.0006 ± 0.0015
exp2,fixed_pref_recurrent_rl,cew,30,-0.0005681998821772798,0.004181797323191329,0.0007634882416088708,0.0014964369535533867,-0.0006 ± 0.0015
exp2,fixed_pref_recurrent_rl,sharpe,30,0.9195888469297047,0.2726680213748111,0.049782142005761615,0.09757299833129277,0.9196 ± 0.0976
exp2,fixed_pref_recurrent_rl,max_drawdown,30,-0.009511532895366463,0.003975009059045874,0.0007257340426422699,0.001422438723578849,-0.0095 ± 0.0014
