experiment,omitted_guard_family,remaining_guard_families,route,min_refinement_slack,min_holdout_slack,min_heldout_delta,min_budget_stress_margin,robustness_status,interpretation
exp1_habit_portfolio,replay_certificate,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
exp1_habit_portfolio,empirical_envelope,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
exp1_habit_portfolio,interval_domain,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
exp1_habit_portfolio,bounded_budget,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
exp1_habit_portfolio,refinement_stress,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
exp1_habit_portfolio,holdout_bootstrap_concordance,5,validation-cover_not_global_lipschitz,0.072434512561,0.0181086281403,3.35321472793e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,replay_certificate,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,empirical_envelope,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,interval_domain,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,bounded_budget,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,refinement_stress,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
inventory_service_level,holdout_bootstrap_concordance,5,validation-cover_not_global_lipschitz,0.06838538723,0.0170963468075,7.97629411772e-05,0.750000,leave_one_out_guard_pass,Leave-one-guard-out robustness for finite sampled neural validation rows; not an analytic full-domain neural certificate.
