demand_shock_ratio,backlog_normalized,capacity_tightness,theta_service_pressure,implied_target_fill_rate,order_target_multiplier,economic_interpretation
0.00,0.00,0.00,0.940394,0.926722,1.311522,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.00,0.25,1.070394,0.933872,1.376822,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.00,0.55,1.226394,0.942452,1.455182,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.00,0.90,1.408394,0.952462,1.546602,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.35,0.00,1.192394,0.940582,1.389642,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.35,0.25,1.322394,0.947732,1.454942,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.35,0.55,1.478394,0.956312,1.533302,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.35,0.90,1.660394,0.966322,1.624722,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.75,0.00,1.480394,0.956422,1.478922,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.75,0.25,1.610394,0.963572,1.544222,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.75,0.55,1.766394,0.972152,1.622582,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,0.75,0.90,1.948394,0.982162,1.714002,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,1.20,0.00,1.804394,0.974242,1.579362,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,1.20,0.25,1.934394,0.981392,1.644662,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,1.20,0.55,2.090394,0.985000,1.723022,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.00,1.20,0.90,2.200000,0.985000,1.792000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.00,0.00,1.055394,0.933047,1.347172,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.00,0.25,1.185394,0.940197,1.412472,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.00,0.55,1.341394,0.948777,1.490832,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.00,0.90,1.523394,0.958787,1.582252,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.35,0.00,1.307394,0.946907,1.425292,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.35,0.25,1.437394,0.954057,1.490592,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.35,0.55,1.593394,0.962637,1.568952,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.35,0.90,1.775394,0.972647,1.660372,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.75,0.00,1.595394,0.962747,1.514572,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.75,0.25,1.725394,0.969897,1.579872,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.75,0.55,1.881394,0.978477,1.658232,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,0.75,0.90,2.063394,0.985000,1.749652,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,1.20,0.00,1.919394,0.980567,1.615012,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,1.20,0.25,2.049394,0.985000,1.680312,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,1.20,0.55,2.200000,0.985000,1.757000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.25,1.20,0.90,2.200000,0.985000,1.792000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.00,0.00,1.170394,0.939372,1.382822,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.00,0.25,1.300394,0.946522,1.448122,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.00,0.55,1.456394,0.955102,1.526482,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.00,0.90,1.638394,0.965112,1.617902,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.35,0.00,1.422394,0.953232,1.460942,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.35,0.25,1.552394,0.960382,1.526242,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.35,0.55,1.708394,0.968962,1.604602,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.35,0.90,1.890394,0.978972,1.696022,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.75,0.00,1.710394,0.969072,1.550222,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.75,0.25,1.840394,0.976222,1.615522,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.75,0.55,1.996394,0.984802,1.693882,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,0.75,0.90,2.178394,0.985000,1.785302,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,1.20,0.00,2.034394,0.985000,1.650662,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,1.20,0.25,2.164394,0.985000,1.715962,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,1.20,0.55,2.200000,0.985000,1.757000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.50,1.20,0.90,2.200000,0.985000,1.792000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.00,0.00,1.331394,0.948227,1.432732,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.00,0.25,1.461394,0.955377,1.498032,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.00,0.55,1.617394,0.963957,1.576392,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.00,0.90,1.799394,0.973967,1.667812,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.35,0.00,1.583394,0.962087,1.510852,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.35,0.25,1.713394,0.969237,1.576152,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.35,0.55,1.869394,0.977817,1.654512,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.35,0.90,2.051394,0.985000,1.745932,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.75,0.00,1.871394,0.977927,1.600132,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.75,0.25,2.001394,0.985000,1.665432,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.75,0.55,2.157394,0.985000,1.743792,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,0.75,0.90,2.200000,0.985000,1.792000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,1.20,0.00,2.195394,0.985000,1.700572,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,1.20,0.25,2.200000,0.985000,1.727000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,1.20,0.55,2.200000,0.985000,1.757000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
0.85,1.20,0.90,2.200000,0.985000,1.792000,theta_t is calibrated as adaptive shortage-penalty/service-pressure multiplier
