k,institution,engine,status,frontier_seconds,economic_queries,max_resident_kib_before_validation
256,expected,divide,PASS,0.3136074330000156,12177,23216
256,expected,linear,PASS,0.34519839199998614,15376,23132
256,expected,pads,PASS,0.33874733499999365,14754,23228
256,pathwise,divide,PASS,0.40708404200000814,13524,23348
256,pathwise,linear,PASS,0.5904380900000206,19386,23240
256,pathwise,pads,PASS,0.5524819699999739,18127,23148
4096,expected,divide,PASS,7.910147230000007,296018,36872
4096,expected,linear,PASS,6.413372208999988,259034,33996
4096,expected,pads,PASS,6.304268430000036,247709,34212
4096,pathwise,divide,PASS,10.993090004999999,335422,37132
4096,pathwise,linear,PASS,10.779948813999965,329278,33212
4096,pathwise,pads,PASS,10.186501168999996,307277,33604
16384,expected,divide,PASS,37.43566416899995,1381513,70700
16384,expected,linear,PASS,26.60071782900002,1039837,70748
16384,expected,pads,PASS,26.15971662000004,994145,72304
16384,pathwise,divide,PASS,52.053956748999894,1572352,67004
16384,pathwise,linear,PASS,44.132101951000095,1322658,67680
16384,pathwise,pads,PASS,41.40113171600001,1234124,69048
