batch,seed,epsilon,k,zeta,direct_p_mse,inferred_p_mse,induced_z_mse,slope_parity_error,intercept_parity_error,direct_design_condition,z_design_condition
0,2026092400,0.1,1.0396188619621844,0.4649316892076829,0.0005232180743928752,0.0005232180743928752,0.00010464361487857505,0.0,1.3877787807814457e-17,6.828132698272327,3.419335213632599
0,2026092400,0.01,1.006353673442962,0.14231990135270206,1.3456388739933081e-05,1.345638873993026e-05,2.691277747986052e-07,6.661338147750939e-16,7.45931094670027e-17,6.828132698272327,2.9423299140535586
0,2026092400,0.001,1.0013917168821218,0.044783599021072956,6.456252933276148e-07,6.456252933274088e-07,1.2912505866548177e-09,2.220446049250313e-16,3.838075690598686e-17,6.828132698272327,7.573306334621404
0,2026092400,0.0001,1.0003783504128874,0.0141474863065833,4.771634497734595e-08,4.771634497734595e-08,9.54326899546919e-12,0.0,1.0977546996415732e-17,6.828132698272327,23.478309379083864
1,2026092401,0.1,0.9180797115162586,0.4105777287427501,0.002236977888419807,0.002236977888419807,0.00044739557768396144,0.0,2.7755575615628914e-17,7.085293673249284,3.531518525153353
1,2026092401,0.01,0.9759629462460297,0.13802200349547405,0.00019259331772375176,0.00019259331772373577,3.8518663544747154e-06,9.992007221626409e-16,0.0,7.085293673249284,2.9399584046311227
1,2026092401,0.001,0.9925856577962258,0.04438978008647407,1.832415677155594e-05,1.8324156771559235e-05,3.664831354311847e-08,6.661338147750939e-16,1.8214596497756474e-17,7.085293673249284,7.461132367618874
1,2026092401,0.0001,0.9976740632890619,0.014109241911312655,1.8033271944297855e-06,1.803327194429269e-06,3.606654388858538e-10,3.3306690738754696e-16,3.3772897672923463e-17,7.085293673249284,23.09641020584519
2,2026092402,0.1,0.9694816603967206,0.43356537911728626,0.0003104563507136979,0.00031045635071371146,6.20912701427423e-05,6.661338147750939e-16,9.71445146547012e-17,6.8147855133644395,3.428166748894137
2,2026092402,0.01,0.9946414435436608,0.14066354191577982,9.571375765258185e-06,9.571375765258185e-06,1.914275153051637e-07,0.0,1.214306433183765e-17,6.8147855133644395,3.0010519803705398
2,2026092402,0.001,0.9987346946526323,0.04466477337461562,5.336658740257523e-07,5.336658740259396e-07,1.067331748051879e-09,2.220446049250313e-16,2.461138931542095e-17,6.8147855133644395,7.7493602015334
