t,regime,previous_contract,stock,contract,value
0,0,0,1,0,-177808052847592170946087143/32000000000000000000000000
0,0,1/10,1,0,-178000052847592170946087143/32000000000000000000000000
0,0,1/5,1,0,-178576052847592170946087143/32000000000000000000000000
0,0,3/10,1,0,-179536052847592170946087143/32000000000000000000000000
0,0,2/5,1,1/10,-180756806122472170946087143/32000000000000000000000000
0,0,1/2,1,1/10,-182100806122472170946087143/32000000000000000000000000
0,0,3/5,1,1/10,-183828806122472170946087143/32000000000000000000000000
0,0,7/10,1,1/10,-185940806122472170946087143/32000000000000000000000000
0,0,4/5,2,3/10,-188121542122472170946087143/32000000000000000000000000
0,0,9/10,2,3/10,-190233542122472170946087143/32000000000000000000000000
0,0,1,2,3/10,-192729542122472170946087143/32000000000000000000000000
0,1,0,3,2/5,-330075793061408505080001623/64000000000000000000000000
0,1,1/10,3,1/2,-326760867493408505080001623/64000000000000000000000000
0,1,1/5,3,1/2,-324072867493408505080001623/64000000000000000000000000
0,1,3/10,3,1/2,-322152867493408505080001623/64000000000000000000000000
0,1,2/5,3,1/2,-321000867493408505080001623/64000000000000000000000000
0,1,1/2,3,3/5,-320147875493408505080001623/64000000000000000000000000
0,1,3/5,3,3/5,-319763875493408505080001623/64000000000000000000000000
0,1,7/10,3,3/5,-320147875493408505080001623/64000000000000000000000000
0,1,4/5,3,3/5,-321299875493408505080001623/64000000000000000000000000
0,1,9/10,3,7/10,-323111843493408505080001623/64000000000000000000000000
0,1,1,3,7/10,-325031843493408505080001623/64000000000000000000000000
0,2,0,4,4/5,-228876931745491571339903009/64000000000000000000000000
0,2,1/10,4,4/5,-223116931745491571339903009/64000000000000000000000000
0,2,1/5,4,4/5,-218124931745491571339903009/64000000000000000000000000
0,2,3/10,4,4/5,-213900931745491571339903009/64000000000000000000000000
0,2,2/5,4,9/10,-209858989985491571339903009/64000000000000000000000000
0,2,1/2,4,9/10,-206402989985491571339903009/64000000000000000000000000
0,2,3/5,4,9/10,-203714989985491571339903009/64000000000000000000000000
0,2,7/10,4,9/10,-201794989985491571339903009/64000000000000000000000000
0,2,4/5,4,1,-200257965985491571339903009/64000000000000000000000000
0,2,9/10,4,1,-199105965985491571339903009/64000000000000000000000000
0,2,1,4,1,-198721965985491571339903009/64000000000000000000000000
1,0,0,1,0,-40109121053550308907859/8000000000000000000000
1,0,1/10,1,0,-40157121053550308907859/8000000000000000000000
1,0,1/5,1,0,-40301121053550308907859/8000000000000000000000
1,0,3/10,1,0,-40541121053550308907859/8000000000000000000000
1,0,2/5,1,1/10,-40846309372270308907859/8000000000000000000000
1,0,1/2,1,1/10,-41182309372270308907859/8000000000000000000000
1,0,3/5,1,1/10,-41614309372270308907859/8000000000000000000000
1,0,7/10,1,1/10,-42142309372270308907859/8000000000000000000000
1,0,4/5,2,3/10,-42687493372270308907859/8000000000000000000000
1,0,9/10,2,3/10,-43215493372270308907859/8000000000000000000000
1,0,1,2,3/10,-43839493372270308907859/8000000000000000000000
1,1,0,3,2/5,-148230994412982744358751/32000000000000000000000
1,1,1/10,3,1/2,-146573531628982744358751/32000000000000000000000
1,1,1/5,3,1/2,-145229531628982744358751/32000000000000000000000
1,1,3/10,3,1/2,-144269531628982744358751/32000000000000000000000
1,1,2/5,3,1/2,-143693531628982744358751/32000000000000000000000
1,1,1/2,3,3/5,-143267035628982744358751/32000000000000000000000
1,1,3/5,3,3/5,-143075035628982744358751/32000000000000000000000
1,1,7/10,3,3/5,-143267035628982744358751/32000000000000000000000
1,1,4/5,3,3/5,-143843035628982744358751/32000000000000000000000
1,1,9/10,3,7/10,-144749019628982744358751/32000000000000000000000
1,1,1,3,7/10,-145709019628982744358751/32000000000000000000000
1,2,0,4,4/5,-98261111773220957635979/32000000000000000000000
1,2,1/10,4,4/5,-95381111773220957635979/32000000000000000000000
1,2,1/5,4,4/5,-92885111773220957635979/32000000000000000000000
1,2,3/10,4,4/5,-90773111773220957635979/32000000000000000000000
1,2,2/5,4,9/10,-88752140893220957635979/32000000000000000000000
1,2,1/2,4,9/10,-87024140893220957635979/32000000000000000000000
1,2,3/5,4,9/10,-85680140893220957635979/32000000000000000000000
1,2,7/10,4,9/10,-84720140893220957635979/32000000000000000000000
1,2,4/5,4,1,-83951628893220957635979/32000000000000000000000
1,2,9/10,4,1,-83375628893220957635979/32000000000000000000000
1,2,1,4,1,-83183628893220957635979/32000000000000000000000
2,0,0,1,0,-35553691854741193373/8000000000000000000
2,0,1/10,1,0,-35601691854741193373/8000000000000000000
2,0,1/5,1,0,-35745691854741193373/8000000000000000000
2,0,3/10,1,0,-35985691854741193373/8000000000000000000
2,0,2/5,1,1/10,-36290880173461193373/8000000000000000000
2,0,1/2,1,1/10,-36626880173461193373/8000000000000000000
2,0,3/5,1,1/10,-37058880173461193373/8000000000000000000
2,0,7/10,1,1/10,-37586880173461193373/8000000000000000000
2,0,4/5,2,3/10,-38132064173461193373/8000000000000000000
2,0,9/10,2,3/10,-38660064173461193373/8000000000000000000
2,0,1,2,3/10,-39284064173461193373/8000000000000000000
2,1,0,3,2/5,-65440997574929211087/16000000000000000000
2,1,1/10,3,1/2,-64612266182929211087/16000000000000000000
2,1,1/5,3,1/2,-63940266182929211087/16000000000000000000
2,1,3/10,3,1/2,-63460266182929211087/16000000000000000000
2,1,2/5,3,1/2,-63172266182929211087/16000000000000000000
2,1,1/2,3,3/5,-62959018182929211087/16000000000000000000
2,1,3/5,3,3/5,-62863018182929211087/16000000000000000000
2,1,7/10,3,3/5,-62959018182929211087/16000000000000000000
2,1,4/5,3,3/5,-63247018182929211087/16000000000000000000
2,1,9/10,3,7/10,-63700010182929211087/16000000000000000000
2,1,1,3,7/10,-64180010182929211087/16000000000000000000
2,2,0,4,4/5,-40966735184365845909/16000000000000000000
2,2,1/10,4,4/5,-39526735184365845909/16000000000000000000
2,2,1/5,4,4/5,-38278735184365845909/16000000000000000000
2,2,3/10,4,4/5,-37222735184365845909/16000000000000000000
2,2,2/5,4,9/10,-36212249744365845909/16000000000000000000
2,2,1/2,4,9/10,-35348249744365845909/16000000000000000000
2,2,3/5,4,9/10,-34676249744365845909/16000000000000000000
2,2,7/10,4,9/10,-34196249744365845909/16000000000000000000
2,2,4/5,4,1,-33811993744365845909/16000000000000000000
2,2,9/10,4,1,-33523993744365845909/16000000000000000000
2,2,1,4,1,-33427993744365845909/16000000000000000000
3,0,0,1,0,-15368292938958393/4000000000000000
3,0,1/10,1,0,-15392292938958393/4000000000000000
3,0,1/5,1,0,-15464292938958393/4000000000000000
3,0,3/10,1,0,-15584292938958393/4000000000000000
3,0,2/5,1,1/10,-15736887098318393/4000000000000000
3,0,1/2,1,1/10,-15904887098318393/4000000000000000
3,0,3/5,1,1/10,-16120887098318393/4000000000000000
3,0,7/10,1,1/10,-16384887098318393/4000000000000000
3,0,4/5,2,3/10,-16657479098318393/4000000000000000
3,0,9/10,2,3/10,-16921479098318393/4000000000000000
3,0,1,2,3/10,-17233479098318393/4000000000000000
3,1,0,3,2/5,-28236337437301729/8000000000000000
3,1,1/10,3,1/2,-27821971741301729/8000000000000000
3,1,1/5,3,1/2,-27485971741301729/8000000000000000
3,1,3/10,3,1/2,-27245971741301729/8000000000000000
3,1,2/5,3,1/2,-27101971741301729/8000000000000000
3,1,1/2,3,3/5,-26995347741301729/8000000000000000
3,1,3/5,3,3/5,-26947347741301729/8000000000000000
3,1,7/10,3,3/5,-26995347741301729/8000000000000000
3,1,4/5,3,3/5,-27139347741301729/8000000000000000
3,1,9/10,3,7/10,-27365843741301729/8000000000000000
3,1,1,3,7/10,-27605843741301729/8000000000000000
3,2,0,4,4/5,-16417282785361369/8000000000000000
3,2,1/10,4,4/5,-15697282785361369/8000000000000000
3,2,1/5,4,4/5,-15073282785361369/8000000000000000
3,2,3/10,4,4/5,-14545282785361369/8000000000000000
3,2,2/5,4,9/10,-14040040065361369/8000000000000000
3,2,1/2,4,9/10,-13608040065361369/8000000000000000
3,2,3/5,4,9/10,-13272040065361369/8000000000000000
3,2,7/10,4,9/10,-13032040065361369/8000000000000000
