B,delta,beta,eta,net,codebook,targets,intermediate,lotteries,seconds,counts
1/3,0,0,0,2281/3744,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",2.2149113779999965,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 416}"
1/3,0,1/50,1/200,54913/93600,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",2.236848676000008,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 416}"
1/3,1/16,0,0,2281/3744,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",3.5271141630000074,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 462}"
1/3,1/16,1/50,1/200,54913/93600,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",3.571062751999989,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 462}"
1/3,1/8,0,0,2281/3744,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",3.511671462999999,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 488}"
1/3,1/8,1/50,1/200,54913/93600,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",3.574118073000008,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 489}"
1/3,1,0,0,2281/3744,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",2.336177547999995,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 505}"
1/3,1,1/50,1/200,54913/93600,"[""1/4"", ""59/156""]","[""1/4"", ""59/156"", ""59/156""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""59/156"", ""1""]], [[""59/156"", ""1""]]]",2.3353523319999994,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 509}"
3/8,0,0,0,281/416,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",2.1883492490000123,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 406}"
3/8,0,1/50,1/200,6777/10400,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",2.2173514600000033,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 408}"
3/8,1/16,0,0,281/416,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",3.5337472239999954,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 456}"
3/8,1/16,1/50,1/200,6777/10400,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",3.550612276999999,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 458}"
3/8,1/8,0,0,281/416,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",3.498187274000003,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 455}"
3/8,1/8,1/50,1/200,6777/10400,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",3.5663389470000197,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 457}"
3/8,1,0,0,281/416,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",2.3140762510000172,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 497}"
3/8,1,1/50,1/200,6777/10400,"[""1/4"", ""23/52""]","[""1/4"", ""23/52"", ""23/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""23/52"", ""1""]], [[""23/52"", ""1""]]]",2.3552525009999954,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 504}"
2/5,0,0,0,297/416,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",2.216928110999987,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 451}"
2/5,0,1/50,1/200,7169/10400,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",2.209077124999993,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 451}"
2/5,1/16,0,0,297/416,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",3.5335831639999924,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 519}"
2/5,1/16,1/50,1/200,7169/10400,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",3.5674692470000195,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 520}"
2/5,1/8,0,0,297/416,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",3.5308682280000028,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 518}"
2/5,1/8,1/50,1/200,7169/10400,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",3.541781917999998,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 519}"
2/5,1,0,0,297/416,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",2.320578626000014,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 568}"
2/5,1,1/50,1/200,7169/10400,"[""1/4"", ""25/52""]","[""1/4"", ""25/52"", ""25/52""]","[""0"", ""0"", ""0""]","[[[""1/4"", ""1""]], [[""25/52"", ""1""]], [[""25/52"", ""1""]]]",2.3332304440000087,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 569}"
17/40,0,0,0,117/160,"[""1/4"", ""1/2""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/4""]","[[[""1/4"", ""1""]], [[""1/2"", ""1""]], [[""1/2"", ""1""]]]",2.200507182999985,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 178}"
17/40,0,1/50,1/200,113/160,"[""1/4"", ""1/2""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/4""]","[[[""1/4"", ""1""]], [[""1/2"", ""1""]], [[""1/2"", ""1""]]]",2.205278906000018,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 6909, ""feasible"": 178}"
17/40,1/16,0,0,3747/5120,"[""1/4"", ""9/16""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""3/16""]","[[[""1/4"", ""1""]], [[""1/4"", ""1/5""], [""9/16"", ""4/5""]], [[""9/16"", ""1""]]]",3.4961459799999943,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 202}"
17/40,1/16,1/50,1/200,113/160,"[""1/4"", ""1/2""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/4""]","[[[""1/4"", ""1""]], [[""1/2"", ""1""]], [[""1/2"", ""1""]]]",3.526196626000001,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 202}"
17/40,1/8,0,0,937/1280,"[""1/4"", ""5/8""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/8""]","[[[""1/4"", ""1""]], [[""1/4"", ""1/3""], [""5/8"", ""2/3""]], [[""5/8"", ""1""]]]",3.4772598350000123,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 205}"
17/40,1/8,1/50,1/200,113/160,"[""1/4"", ""1/2""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/4""]","[[[""1/4"", ""1""]], [[""1/2"", ""1""]], [[""1/2"", ""1""]]]",3.5373020750000137,"{""cells"": 28, ""systems"": 17384, ""nonsingular"": 10473, ""feasible"": 202}"
17/40,1,0,0,937/1280,"[""1/4"", ""5/8""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/8""]","[[[""1/4"", ""1""]], [[""1/4"", ""1/3""], [""5/8"", ""2/3""]], [[""5/8"", ""1""]]]",2.2961825829999896,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 268}"
17/40,1,1/50,1/200,113/160,"[""1/4"", ""1/2""]","[""1/4"", ""1/2"", ""3/4""]","[""0"", ""0"", ""1/4""]","[[[""1/4"", ""1""]], [[""1/2"", ""1""]], [[""1/2"", ""1""]]]",2.3221090240000137,"{""cells"": 28, ""systems"": 10939, ""nonsingular"": 7749, ""feasible"": 265}"
