0 {'group_price_comparisons': 18, 'pooled_fixed_mean': 3, 'common_eligibility_joint': 1, 'multigroup_intervals': 0}
1 {'group_price_comparisons': 42, 'pooled_fixed_mean': 6, 'common_eligibility_joint': 1, 'multigroup_intervals': 1}
2 {'group_price_comparisons': 66, 'pooled_fixed_mean': 9, 'common_eligibility_joint': 1, 'multigroup_intervals': 2}
3 {'group_price_comparisons': 84, 'pooled_fixed_mean': 12, 'common_eligibility_joint': 2, 'multigroup_intervals': 2}
4 {'group_price_comparisons': 108, 'pooled_fixed_mean': 15, 'common_eligibility_joint': 2, 'multigroup_intervals': 3}
5 {'group_price_comparisons': 132, 'pooled_fixed_mean': 18, 'common_eligibility_joint': 2, 'multigroup_intervals': 4}
6 {'group_price_comparisons': 150, 'pooled_fixed_mean': 21, 'common_eligibility_joint': 3, 'multigroup_intervals': 4}
7 {'group_price_comparisons': 186, 'pooled_fixed_mean': 24, 'common_eligibility_joint': 3, 'multigroup_intervals': 5}
8 {'group_price_comparisons': 204, 'pooled_fixed_mean': 27, 'common_eligibility_joint': 4, 'multigroup_intervals': 5}
9 {'group_price_comparisons': 222, 'pooled_fixed_mean': 30, 'common_eligibility_joint': 5, 'multigroup_intervals': 5}
10 {'group_price_comparisons': 252, 'pooled_fixed_mean': 33, 'common_eligibility_joint': 5, 'multigroup_intervals': 5}
11 {'group_price_comparisons': 282, 'pooled_fixed_mean': 36, 'common_eligibility_joint': 5, 'multigroup_intervals': 5}
12 {'group_price_comparisons': 300, 'pooled_fixed_mean': 39, 'common_eligibility_joint': 6, 'multigroup_intervals': 5}
13 {'group_price_comparisons': 330, 'pooled_fixed_mean': 42, 'common_eligibility_joint': 6, 'multigroup_intervals': 5}
14 {'group_price_comparisons': 360, 'pooled_fixed_mean': 45, 'common_eligibility_joint': 6, 'multigroup_intervals': 5}
15 {'group_price_comparisons': 378, 'pooled_fixed_mean': 48, 'common_eligibility_joint': 7, 'multigroup_intervals': 5}
16 {'group_price_comparisons': 402, 'pooled_fixed_mean': 51, 'common_eligibility_joint': 7, 'multigroup_intervals': 5}
17 {'group_price_comparisons': 426, 'pooled_fixed_mean': 54, 'common_eligibility_joint': 7, 'multigroup_intervals': 5}
18 {'group_price_comparisons': 444, 'pooled_fixed_mean': 57, 'common_eligibility_joint': 8, 'multigroup_intervals': 5}
19 {'group_price_comparisons': 462, 'pooled_fixed_mean': 60, 'common_eligibility_joint': 9, 'multigroup_intervals': 5}
20 {'group_price_comparisons': 486, 'pooled_fixed_mean': 63, 'common_eligibility_joint': 9, 'multigroup_intervals': 5}
21 {'group_price_comparisons': 504, 'pooled_fixed_mean': 66, 'common_eligibility_joint': 10, 'multigroup_intervals': 5}
22 {'group_price_comparisons': 528, 'pooled_fixed_mean': 69, 'common_eligibility_joint': 10, 'multigroup_intervals': 5}
23 {'group_price_comparisons': 564, 'pooled_fixed_mean': 72, 'common_eligibility_joint': 10, 'multigroup_intervals': 5}
{'group_price_comparisons': 564, 'pooled_fixed_mean': 72, 'common_eligibility_joint': 10, 'multigroup_intervals': 5, 'boundary_joint_comparisons': 11, 'independent_base_certificates': 2, 'rejected_mutations': 16}
