id,k,N,charge,seed,removed,anchors,wholly_ineligible,ordinary,direct_algorithm,screen_algorithm,screen_stage,reduced_stage,direct_total,screen_total,total_ratio,direct_nodes,reduced_nodes,before_width,after_width,direct_proof_bytes,screen_proof_bytes
screen-k24-c0-5601,24,17,0,5601,12,2,0,10,0.053542049999975916,0.11485447500001555,0.10199913600001764,0.012305470999990575,0.10646757699998943,0.1923089530000084,1.806267771079523,1,1,17/98304,1/8192,3626,9075
screen-k24-c0-5602,24,17,0,5602,7,0,0,7,0.052607233999992786,0.1296629580000399,0.10337510099998326,0.025739152000028298,0.10865136199998915,0.21418158099999118,1.9712737793384731,1,1,21/32768,21/32768,3665,8986
screen-k24-c0-5603,24,17,0,5603,12,2,0,10,0.05538232099996776,0.11821646200002078,0.10518139599997767,0.012472053000010419,0.11101237599996239,0.19569584800001394,1.7628291101532703,1,1,5/49152,1/12288,3682,9121
screen-k24-c1_10-5601,24,17,1_10,5601,14,2,0,12,0.09755100400002448,0.15916957199999615,0.14560578800001167,0.013032729999963522,0.15064280500001814,0.2363646360000189,1.5690403268844497,1,1,0,0,3649,9169
screen-k24-c1_10-5602,24,17,1_10,5602,15,2,0,13,0.07028336500002297,0.12796649699998852,0.11753434700000298,0.009814936999987367,0.12538419999998496,0.20587176800000861,1.6419275155883541,1,1,25/6144,0,3738,9486
screen-k24-c1_10-5603,24,17,1_10,5603,14,2,0,12,0.055365580000000136,0.1135392589999924,0.10415721300000769,0.0088251760000162,0.1143405060000191,0.19473478000003297,1.7031128058852603,1,1,0,0,3717,9391
screen-k24-c1_100-5601,24,17,1_100,5601,13,2,0,11,0.053405816999998024,0.10811317599996073,0.09706774099998938,0.010530403000018396,0.10520966999996517,0.18261781099994323,1.7357512004362687,1,1,161/98304,161/98304,3701,9289
screen-k24-c1_100-5602,24,17,1_100,5602,14,2,0,12,0.0688635710000085,0.12650633700002345,0.1168442970000001,0.009050867999974344,0.1232192030000192,0.20578631800003677,1.6700831768892768,1,1,31/24576,0,3748,9449
screen-k24-c1_100-5603,24,17,1_100,5603,14,2,0,12,0.05592101799999227,0.11033330600002955,0.10124945700005128,0.0085134939999989,0.11354755399997885,0.18843690800002832,1.6595417634453264,1,1,0,0,3740,9444
screen-k8-c0-5601,8,9,0,5601,5,1,0,4,0.004931027999987236,0.01227716800002554,0.010010180999984186,0.002080990000024485,0.015792930999964483,0.022804856999982803,1.4439914288255986,1,1,775/524288,775/524288,1641,3968
screen-k8-c0-5602,8,9,0,5602,6,1,0,5,0.008217500000000655,0.01726570399995353,0.013807638999992378,0.0032365900000286274,0.018857638000042698,0.0286337929999263,1.5184188496916458,1,1,5/2048,0,1679,4133
screen-k8-c0-5603,8,9,0,5603,6,2,0,4,0.0074191079999650356,0.01667769400000907,0.013428110000006654,0.0030379390000234707,0.01784553799996047,0.02743788600002972,1.5375208077274274,1,1,41/16384,0,1634,4022
screen-k8-c1_10-5601,8,9,1_10,5601,6,1,0,5,0.01403739899996026,0.026537964999988617,0.020204636000016762,0.006113678000019718,0.024088896999955978,0.03748993699997527,1.5563160488437384,1,1,4041/716800,4041/716800,1661,4092
screen-k8-c1_10-5602,8,9,1_10,5602,6,1,0,5,0.008068250999997417,0.017236938999985796,0.01346019899995099,0.00357145599997466,0.01888936699998567,0.02883785399995986,1.5266712749019986,1,1,124347/20070400,124347/20070400,1655,4018
screen-k8-c1_10-5603,8,9,1_10,5603,7,1,0,6,0.007740147999982128,0.01566617399998904,0.01299176399999169,0.002478251999946224,0.0182380410000178,0.0266745399999877,1.4625770388366637,1,1,7919/1310720,7919/1310720,1605,3958
screen-k8-c1_100-5601,8,9,1_100,5601,7,1,0,6,0.009514844999955585,0.018439708000016708,0.015609987999994246,0.0026057209999521547,0.019539672999940194,0.028918404000023656,1.4799840304447351,1,1,3/1024,123813/13107200,1661,4111
screen-k8-c1_100-5602,8,9,1_100,5602,5,1,0,4,0.01047257600004059,0.022950909999963187,0.01711694499999794,0.005621097000016562,0.02107899200001384,0.034541364999995494,1.6386630347396505,1,1,197/102400,197/102400,1710,4170
screen-k8-c1_100-5603,8,9,1_100,5603,5,1,0,4,0.016834497000047577,0.031061088999990716,0.02240985800000317,0.008414668999989772,0.0275620480000498,0.04203835800001343,1.5252262096030555,1,1,7163/1310720,7163/1310720,1628,3911
