id,instance_sha256,epsilon,k,N,m,evaluated_nodes,created_nodes,oracle_calls,initial_gross_gap,root_gap,root_fraction_closed,live_leaves,maximum_depth,incumbent_updates,bound_prunes,infeasible_prunes,fixed_book_closures,standalone_forced_command_fixings,mandatory_set_mean,mandatory_set_max,incumbent_book_size,lower,upper,gap,reference_exact,algorithm_seconds,checker_seconds,raw_proof_bytes,gzip_proof_bytes,price_numerator_bits,price_denominator_bits
accuracy-5601-e100,d3c4162b4c299497f534a726808dfb74ab12c0440c26c4a9eabc7a247218935c,hex:1/64,8,9,3,1,1,3,10975371/5324800,3/1024,3653257/3658457,0,0,3,1,0,0,0,0,0,2,hex:10733/19000,hex:1085f/19000,hex:3/400,67379/102400,0.010065713999978243,0.009880277999997134,1661,518,2,1
accuracy-5601-e50,d3c4162b4c299497f534a726808dfb74ab12c0440c26c4a9eabc7a247218935c,hex:1/32,8,9,3,1,1,3,10975371/5324800,3/1024,3653257/3658457,0,0,3,1,0,0,0,0,0,2,hex:10733/19000,hex:1085f/19000,hex:3/400,67379/102400,0.009747476999990567,0.009893570999992107,1661,518,2,1
accuracy-5602-e100,04ef8c641d008ac0714696cec6699a96268ea2426119f153a334913f48ec403b,hex:1/64,8,9,3,1,1,3,17857/8192,197/102400,446031/446425,0,0,2,1,0,0,0,0,0,3,hex:c7d/c80,hex:19065/19000,hex:c5/19000,3197/3200,0.011051215999998476,0.01067694700000743,1710,527,4,4
accuracy-5602-e50,04ef8c641d008ac0714696cec6699a96268ea2426119f153a334913f48ec403b,hex:1/32,8,9,3,1,1,3,17857/8192,197/102400,446031/446425,0,0,2,1,0,0,0,0,0,3,hex:c7d/c80,hex:19065/19000,hex:c5/19000,3197/3200,0.010259167000015168,0.010230842999987999,1710,526,4,4
accuracy-5603-e100,b93d5e24c755afe0075876ed522a4a6e592240c1ebb6020fce4c75118f586895,hex:1/64,8,9,3,1,1,6,740929/393216,7163/1310720,7387801/7409290,0,0,4,1,0,0,0,0,0,2,hex:116ef/19000,hex:4647a7/640000,hex:1bfb/140000,71407/102400,0.016032500000022765,0.009969130999991194,1628,526,12,12
accuracy-5603-e50,b93d5e24c755afe0075876ed522a4a6e592240c1ebb6020fce4c75118f586895,hex:1/32,8,9,3,1,1,5,740929/393216,53/3200,18360409/18523225,0,0,3,1,0,0,0,0,0,2,hex:116a3/19000,hex:11d43/19000,hex:35/c80,71407/102400,0.014424071000007643,0.009768718999993098,1666,514,4,4
common-small-5601-t0.5,3b47217035968a75471925d08cfa65c0f5d3872eb5022e5d7d3ef4f2f4e8481c,hex:1/14,6,7,3,1,1,3,5737981/3686400,31859/737280,5578686/5737981,0,0,3,1,0,0,0,0,0,3,hex:1583/2580,hex:22b2bf/384000,hex:7c73/b4000,5603/9600,0.005793776000004414,0.006616192000009846,1426,500,8,8
common-small-5601-t2,3b47217035968a75471925d08cfa65c0f5d3872eb5022e5d7d3ef4f2f4e8481c,hex:1/14,6,7,3,1,1,3,5737981/3686400,31859/737280,5578686/5737981,0,0,3,1,0,0,0,0,0,3,hex:1583/2580,hex:22b2bf/384000,hex:7c73/b4000,5603/9600,0.005701032000004602,0.0066406990000018595,1426,500,8,8
common-small-5602-t0.5,a76c98e0354aec55966a1343e5bf2181fc57b03cabdeddebf06d022ce437bb26,hex:1/14,6,7,3,1,1,2,193639/122880,1025/27648,1701751/1742751,0,0,2,1,0,0,0,0,0,3,hex:1c1/2d0,hex:164c5/21c00,hex:401/6c00,449/720,0.0044138129999993225,0.006409333999997102,1411,486,6,6
common-small-5602-t2,a76c98e0354aec55966a1343e5bf2181fc57b03cabdeddebf06d022ce437bb26,hex:1/14,6,7,3,1,1,2,193639/122880,1025/27648,1701751/1742751,0,0,2,1,0,0,0,0,0,3,hex:1c1/2d0,hex:164c5/21c00,hex:401/6c00,449/720,0.004388464999991015,0.0063803289999952995,1411,486,6,6
