parameter,level,reward,physical,premium,liability,maintenance,adjustment,filled,lost,demand,customer,movement,tier2,exposure,tier,fill_rate,static_best,static_theta,adaptive_gain,monotone_regime,monotone_inherited
lam,0,-4.71428575029913,9.364984846577851,10.132884855942944,0.9668661514934205,4.515319608170802,0.0,17.131815173454847,2.3312824771525,19.463097650607338,25.09761164246018,0.5849314127226704,3.010213072113867,0.8057217929111842,4.028608964555918,0.8802203781226086,-5.867763513923844,0.6,1.1534777636247142,True,True
lam,0.15,-4.800466657089968,9.36498484657785,10.054512042461656,0.958307009981428,4.45043553809184,0.08125130490050438,17.131815173454847,2.3312824771524996,19.463097650607345,25.167425314429465,0.5416753660033627,2.9669570253945605,0.7985891749845232,3.9929458749226168,0.8802203781226083,-5.869263513923844,0.6,1.0687968568338757,True,True
lam,0.3,-4.880585956126253,9.364984846577853,10.054769955198195,0.9644402795866212,4.449855837952011,0.15607494720796058,17.131815173454843,2.3312824771525005,19.463097650607356,25.173300671298126,0.5202498240265351,2.966570558634674,0.8037002329888514,4.000123297256282,0.8802203781226077,-5.870763513923844,0.6,0.9901775577975913,True,True
lam,0.6,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
lam,1.2,-5.1629350251721196,9.454891515745446,9.705201246043444,1.0066702445514677,4.176125896253508,0.2304486146651513,17.491441850125206,1.9716558004821374,19.46309765060735,26.284352698758433,0.1920405122209595,2.7840839308356733,0.8388918704595558,4.0770779225261835,0.8986977388760818,-5.879763513923844,0.6,0.7168284887517249,True,True
lam,2.4,-5.339597909938696,9.510216005117629,9.552291508368429,1.041282089206825,4.093485169991519,0.24690615399114835,17.712739807613968,1.7503578429933824,19.46309765060736,26.91447019606631,0.10287756416297852,2.7289901133276784,0.867735074339021,4.18169987924379,0.9100678692356676,-5.891763513923844,0.6,0.5521656039851477,True,True
lam,4.8,-5.515443531518008,9.54515621573351,8.623507555481872,0.9503756781855657,3.395211449088775,0.24820774399202397,17.852500650077495,1.6105970005298602,19.46309765060734,28.03186942285867,0.051709946665004995,2.2634742993925188,0.791979731821305,3.8451780886179554,0.9172486810967838,-5.915763513923844,0.6,0.4003199824058363,True,True
kappa,0.3,-3.9868094144066166,8.723153603681052,10.296149223075675,0.7881422280948253,4.6203380261473495,0.15132477955905724,14.564490201867658,4.898607448739693,19.463097650607356,19.62097340875446,0.2522079659317621,3.080225350764901,2.627140760316087,4.364547463166467,0.7483130621508836,-4.792480311112324,0.6,0.8056708967057071,True,True
kappa,0.6,-4.466328135988601,9.364984846577853,10.056374992404221,0.580245320347088,4.408016813682313,0.1694561477855658,17.131815173454864,2.3312824771524996,19.46309765060734,24.78750067485259,0.2824269129759431,2.938677875788208,0.9670755339118129,4.184718409432273,0.8802203781226093,-5.354747576574315,0.6,0.8884194405857144,True,True
kappa,1.2,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
kappa,2.4,-5.879258072873577,9.37016795075626,8.595622248447151,1.6368426459489216,3.268361001500958,0.1995087231145817,17.152547590168513,2.310550060438848,19.463097650607335,27.346315577838784,0.332514538524303,2.1789073343339718,0.6820177691453841,3.410088845726924,0.8812855948258205,-6.8120841777125705,0.5,0.9328261048389939,True,True
m,0.75,-1.9804776616689388,9.515444077419327,13.5393908770055,1.4760899523342734,4.280353882269183,0.24798062665165038,17.73365209682074,1.7294455537865927,19.463097650607335,23.40400326897029,0.41330104441941734,5.707138509692245,1.2300749602785614,6.092759562719008,0.9111423276585869,-2.456737499331241,1.0,0.4762598376623024,True,True
m,1.5,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
m,3.0,-7.146982242731459,9.31904017735791,4.973428161538694,0.51347388214291,2.1902581481043644,0.09763819666496693,16.948036496575092,2.515061154032258,19.463097650607345,29.436118713754386,0.16273032777494492,0.7300860493681214,0.4278949017857581,1.9720855181887647,0.8707779614950567,-7.751570622759659,0.3,0.6045883800281997,True,True
slope,0.4,-8.562255881553389,8.829679694679836,0.9517255389833117,0.2796464323310973,0.3329308906164523,0.07172440290931621,14.990594565862782,4.472503084744561,19.463097650607356,29.309110025073355,0.11954067151552701,0.2219539270776349,0.23303869360924778,0.7931786148928784,0.7702059988069264,-8.656094528783951,0.0,0.09383864723056234,True,True
slope,0.8,-7.595209959696899,9.357195552348875,4.259819835919676,0.6184772023311467,1.7667250923239533,0.11263194861260364,17.100657996538924,2.3624396540684187,19.463097650607356,30.55997335948933,0.18771991435433946,1.1778167282159686,0.5153976686092887,2.5430318869005073,0.8786195447159609,-7.978661482063603,0.4,0.38345152236670366,True,True
slope,1.2,-5.98635223636092,9.373811381650542,7.654567336415304,0.8704735447707156,3.239898001791698,0.1567366445632658,17.16712131374562,2.2959763368617376,19.463097650607338,27.550148835846628,0.2612277409387765,2.1599320011944645,0.7253946206422626,3.4594506077276836,0.8820343822921696,-6.667913084004369,0.5,0.6815608476434489,True,True
slope,1.4,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
slope,2.0,-1.565337057672897,9.429428852683067,15.309713732766316,1.1842891125411747,5.998788905048413,0.26254392016654815,17.38959119787573,2.0735064527316216,19.463097650607345,20.65375777552633,0.43757320027757973,3.999192603365608,0.9869075937843127,4.867948579455023,0.8934647254021812,-2.9518389835348726,0.8,1.3865019258619755,True,True
persistence,0.0,-5.251177126682007,9.522132764023079,9.698362602838577,1.025234156548031,4.134202579003686,0.2679702299457876,17.76040684323573,1.7026908073716034,19.463097650607352,26.847685240180937,0.446617049909646,2.7561350526691255,0.8543617971233594,4.173422010396254,0.912516967343146,-5.873763513923846,0.6,0.6225863872418387,True,True
persistence,0.5,-5.141083252007785,9.394726762308999,9.788046445560186,1.018152718266852,4.207959399041572,0.30829081795054286,17.250782836379457,2.2123148142279097,19.463097650607356,25.731671945465532,0.5138180299175716,2.8053062660277144,0.8484605985557107,4.017826772858591,0.8863328513301241,-5.873763513923846,0.6,0.7326802619160606,True,True
persistence,1.0,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
beta,0.8,-2.9831823453875406,5.431900288057343,5.579955918844727,0.5859716236915509,2.4377350234152946,0.10753132906807296,9.993188608229376,1.241887231770624,11.235075840000006,14.992392921305575,0.17921888178012163,1.6251566822768646,0.4883096864096257,2.3471746425323543,0.8894633868559068,-3.3931673088000003,0.6,0.4099849634124597,True,True
beta,0.9,-4.001959743465196,7.417016072260771,7.74683745182128,0.7958281705390639,3.3780868045476344,0.15786614793900863,13.607239611043093,1.7701457189569185,15.377385329999996,20.263469940803947,0.26311024656501414,2.252057869698426,0.6631901421158862,3.183833818136386,0.8848864302370381,-4.6419969106000005,0.6,0.6400371671348042,True,True
beta,0.97,-5.002310554584505,9.374173780421836,9.889657994650362,1.0018591595329631,4.3081493394225445,0.2077862698575164,17.168570908830816,2.2945267417765485,19.463097650607327,25.449342982544202,0.34631044976252723,2.8720995596150307,0.8348826329441359,4.006959577552461,0.8821088614481204,-5.873763513923844,0.6,0.8714529593393392,True,True
beta,1.0,-5.5243948360484385,10.39759543718749,11.011778215453125,1.1094146839124996,4.7952220334765645,0.23394089692499995,19.030381748750013,2.569618251249999,21.59999999999998,28.158399965959386,0.3899014948749999,3.1968146889843756,0.9245122365937496,4.436977684218746,0.8810361920717606,-6.518,0.6,0.9936051639515613,True,True
